Stop Name,Internet Label,Avail Label,Stop Number,Routes Served,GPS,City,StaRT Stop ID,Solar Light,Shelter,Shelter Type,Asset Number2,Garbage Can,Garbage Can Type,Bench,Bench Type,Frames Needed,Landmark/Notes,Shelter Possible (Y/N),Priority,Trash Can Possible (Y/N),Priority2,Bench Possible w/o shelter (Y/N),Priority3,Notes,Column1
LATIMER WB FALLEN LEAF NS,Latimer Ave & Fallen Leaf Ln,LATI WB FALL NS,204,29 29T,"37.618511686492546, -120.98229841058107",Modesto,,X,X,Tolar Sunset 8,,X,Shelter,X (2),Tolar COA,1,SLAB,,,,,,,,
LATIMER WB BYSTRUM NS,Latimer Ave & Bystrum Rd,LATI WB BYST NS,205,29 29T,"37.6185257491381, -120.98401542298852",Modesto,,,,,,,,,,1,,Y,2,Y,2,Y,2,R11,
9TH NB LOMBARDO NS,9th St & Lombardo Ave,9TH NB LOMB NS,206,29 29T 42,"37.62025133082522, -120.98530826053863",Modesto,,,,,,,,,,1,,N,N/A,N,N/A,N,N/A,"R9, no room",
9TH NB HOSMER FS,9th St & Hosmer Ave,9TH NB HOSM FS,207,29 29T 42,"37.622943552783184, -120.98600564131073",Modesto,,,,,,,,X,Simme,1,DONUT SHOP  ,N,N/A,N,N/A,N,N/A,"R20, No room, solar light stolen 2/1/24",
9TH NB RIVER ROAD NS,9th St & River Rd,9TH NB RIVE NS,208,29 29T 42,"37.62548433798478, -120.9866849932589",Modesto,,,X, MESH,657,,,X,MESH,1,,Y,1,Y,1,Y,1,R38,
9TH NB D ST FS,9th St & D St,9TH NB D FS,209,29 29T 38 42 50,"37.63444734870375, -120.99480138352732",Modesto,,,X, MESH,658,X,LG,x,Mesh/COA,1,,Y,1,Y,1,Y,1,"R21, CDEV project in progress",
G EB 12TH NS,G St & 12th St,G EB 12TH NS,212,25 37 60,"37.63887975662655, -120.9950316824869",Modesto,,,,,,X (2),LG,X ,COA,2,,Y,3,Y,3,N/A,N/A,R7,
G EB 14TH FS,G St & 14th St,G EB 14TH FS,213,25 37 60,"37.64062335074167, -120.99278681773369",Modesto,,,,,,,,X,MU BENCH,2,,Y,2,Y,2,Y,2,"R10, Ready for shelter install",
G EB 16TH NS,G St & 16th St,G EB 16TH NS,214,25 37 60,"37.64183521073529, -120.99113204293675",Modesto,,,,,,,,X,simme,2,,Y,4,Y,4,Y,4,R4,
SCENIC EB BODEM NS,Scenic Dr & Bodem St,SCEN EB BODE NS,215,24 32 37,"37.646703736799246, -120.9853996671756",Modesto,,,,,,,,,,1,,,,,,,,,
SCENIC EB COUNTY HSA MED CTR,,SCEN EB CO HSA,216,24 32 37,"37.647102832682386, -120.98215265559459",Modesto,,,x,MESH,564,X,LG,,,1,,,,,,,,,
SCENIC EB COFFEE FS,Scenic Dr & Coffee Rd,SCEN EB COFF FS,217,37,"37.64903611386002, -120.97479120995787",Modesto,,,,,,,,x,COA,1,,,,,,,,,
SCENIC EB ROSE NS,Scenic Dr & Rose Ave,SCEN EB ROSE NS,218,37,"37.65085754732527, -120.96834554139052",Modesto,,,,,,,,,,1,,,,,,,,,
LAKEWOOD NB ORANGEBURG FS,Lakewood Ave & Orangeburg Ave,LAKE NB ORAN FS,228,24,"37.66385388156283, -120.93931225072146",Modesto,,,,,,x,LG,X,Simme,1,,,,,,,,,
ROSELLE NB BRIGGSMORE FS,Roselle Ave & Briggsmore Ave,RSLL NB BRIG FS,229,24,"37.6676705028089, -120.9393509668471",Modesto,,,,,,,,,,1,MID Canal ,,,,,,,,
SYLVAN WB OAKDALE FS,Sylvan Ave & Oakdale Rd,SYLV WB OAK FS,246,32 37,"37.689047252280446, -120.95864253179602",Modesto,,,,,,,,X,COA,1,CHEVRON    ,Y ,4,Y,4,Y,N/A,"R4, Existing bench",
SYLVAN WB BOYCE FS,Beyer HS - Sylvan Ave & Boyce Ln,SYLV WB BOYC FS,247,32 37,"37.68911094021373, -120.96712787221658",Modesto,,,x,Tolar Sunset 16,,X,Shelter,X,shelter COA,1,BEYER HS  ,Y,2,Y,N/A,Y,N/A,"R14, Existing bench & trash can",
SYLVAN WB FOREST GLENN FS,Sylvan Ave & Forest Glenn Dr,SYLV WB FORE FS,248,32 37,"37.689004510293515, -120.97200197957082",Modesto,,,,,,,,,,1,ROLLER PARK,Y,4,Y,4,Y,4,"R1, needs concrete work",
MCHENRY SB GRANGER NS,McHenry Village - McHenry Ave & Granger Ave,MCH SB GRAN NS,256,22 23,"37.66747766794976, -120.9940812653667",Modesto,,,X,MESH,535,X,LG,X (2),"MESH, COA",1,T-Mobile,Y,1,N/A,N/A,N/A,N/A,"R30, Existing bench & trash can",
MCHENRY SB COOLIDGE NS,McHenry Ave & Coolidge Ave,MCH SB COOL NS,257,22 23,"37.66608627793294, -120.99405669040071",Modesto,,,,,,X,LG,X,COA,1,Denny's,Y,1,N/A,N/A,N/A,N/A,"R32, Existing bench & trash can, have had complaints from adjacent property owners about stop.",
ORANGEBURG EB MCHENRY FS,Orangeburg Ave & McHenry Ave,ORAN EB MCH FS,258,25,"37.663606291746994, -120.99329061657417",Modesto,,,X,MESH,616 617,X,LG,X (3),"1COA, 2MESH",1,,,,,,,,,
ORANGEBURG EB NELSON NS,Orangeburg Ave & Nelson Ave,ORAN EB NELS NS,259,25,"37.66357378798456, -120.98874812913952",Modesto,,,X ,WOODEN,Non-Asset,X ,LG,,,1,,N/A,N/A,Y,4,N/A,N/A,"R3, Existing shelter",
H WB 17TH NS,H St & 17th St,H WB 17TH NS,264,25 37 60,"37.64385343917253, -120.99114762869537",Modesto,,,,,,,,X ,COA,1,,Y,2,N/A,N/A,N/A,N/A,"R10, Existing bench & Trash can, needs concrete work",
H WB 15TH NS,H St & 15th St,H WB 15TH NS,265,25 37 60,"37.642359909842085, -120.99302346961576",Modesto,,,,,,,,X ,COA,1,,Y,2,Y,2,N/A,N/A,"R10, Existing bench, ready for shelter install",
H WB 13TH NS,H St & 13th St,H WB 13TH NS,266,25 37 60,"37.640803569845474, -120.99510555350808",Modesto,,,,,,,,,,1,,Y,3,Y,3,Y,3,R5,
H WB 11TH NS,H St & 11th St,H WB 11TH NS,267,25 37 60,"37.63957942242139, -120.99676173697414",Modesto,,,,,,,,x,COA,1,,Y,4,Y,4,N/A,N/A,"R1, Existing bench",
D EB YOSEMITE NS,D St & Yosemite Blvd,D EB YOSE NS,268,38 50,"37.63713009128937, -120.99015721765748",Modesto,,,,,,,,X,simme,1,,Y,4,Y,4,Y,4,"R3, Needs concrete work",
YOSEMITE EB MORTON NS,Yosemite Blvd & Morton Blvd,YOSE EB MORT NS,269,38 50,"37.63746774314926, -120.9848175857236",Modesto,,,,,,,,,,1,,Y,4,Y,4,Y,4,R1,
YOSEMITE EB SANTA ROSA NS,Yosemite Blvd & Santa Rosa Ave,YOSE EB SROS NS,270,38 50,"37.63818339487262, -120.98035208135182",Modesto,,,,,,x,LG,,,1,,Y,4,Y,4,Y,4,R0,
YOSEMITE EB SANTA RITA FS,Yosemite Blvd & Santa Rita Ave,YOSE EB SRIT FS,271,38 50,"37.63816251490568, -120.97748720487189",Modesto,,,,,,,,,,1,,Y,4,Y,4,Y,4,R1,
YOSEMITE EB SANTA CRUZ FS,Yosemite Blvd & Santa Cruz Ave,YOSE EB SCRU FS,272,38 50,"37.63814647026216, -120.97383017564329",Modesto,,,,,,X,,X,mesh,1,GOSPEL MISSION ,Y,4,Y,4,Y,4,R1,
YOSEMITE EB EMPIRE NS,Yosemite Blvd & Empire Ave,YOSE EB EMP NS,274,38 50,"37.63814005431517, -120.9690957809542",Modesto,,,,,,,,X,COA,1,former route 37/38,Y,4,Y,4,Y,4,R0,
EMPIRE SB MONO NS,Empire Ave & Mono Dr,EMP SB MONO NS,276,38,"37.63561665244494, -120.96800450687176",Modesto,,,x,MESH,679,,,x,simme,1,,,,,,,,,
EMPIRE SB TENAYA FS,Empire Ave & Tenaya Dr,EMP SB TENA FS,277,38,"37.63384426511744, -120.96865077726292",Modesto,,,,,,,,x,Mesh,1,SLAB  ,Y,2,Y,2,Y,2,R12,
EMPIRE SB OREGON NS,Empire Ave & Oregon Dr,EMP SB OREG NS,278,38,"37.63118814384429, -120.96866043770154",Modesto,,,X,MESH,637,X,LG,X,"MESH, simme",1,,Y,1,Y,1,Y,N/A,"R31, Concrete work needed, existing Simme Seat",
EMPIRE SB MONTEREY NS,Empire Ave & Monterey Ave,EMP SB MONT NS,279,38,"37.62745612697023, -120.96869857465629",Modesto,,,,,,,,x,Simme,1,,Y,2,Y,2,Y,2,"R11, Residential, but property owners have been cooperative in past.",
MONTEREY WB KERR FS,Monterey Ave & Kerr Ave,MONT WB KERR FS,280,38,"37.62733301771115, -120.97193169337586",Modesto,,,,,,X,"SM,POLE",x,Simme,1,,N,N/A,Y,N/A,Y,1 Simme,"R16, Residential, Existing pole mt trash can, Simme seat possible",
SANTA CRUZ NB MONTEREY FS,Santa Cruz Ave & Monterey Ave,SCRU NB MONT FS,281,38,"37.62761586693891, -120.97464522732412",Modesto,,,,,,,,,,1,"37.62759401372303, -120.97464378051653",N,N/A,N,N/A,Y,3 Simme,"R7, Residential, possible Simme seat",
SANTA CRUZ NB LARKIN NS,Santa Cruz Ave & Larkin Ave,SCRU NB LARK NS,282,38,"37.62901689183855, -120.97468055427098",Modesto,,,,,,,,,,1,,N,N/A,N,N/A,N,N/A,"R1, Residential",
SANTA CRUZ NB OREGON FS,Santa Cruz Ave & Oregon Dr,SCRU NB OREG FS,285,38,"37.632344192760755, -120.9746720330264",Modesto,,,X,MESH,638,X,LG,X,COA,1,,,,,,,,,
SANTA CRUZ NB TENAYA FS,Santa Cruz Ave & Tenaya Dr,SCRU NB TENA FS,286,38,"37.63391408622889, -120.97469953659012",Modesto,,,X,MESH,639,X,LG,X,MESH,1,SLAB  ,Y,1,Y,N/A,Y,N/A,"R16, Existing bench and trash can",
SANTA CRUZ NB YOSEMITE NS,Santa Cruz Ave & Yosemite Blvd,SCRU NB YOSE NS,287,38,"37.63719663399725, -120.97470655121366",Modesto,,,X,MESH,640,X,LG,X,MESH,1,,,,,,,,,
YOSEMITE WB SANTA ANA NS,Yosemite Blvd & Santa Ana Ave,YOSE WB SANA NS,288,38 50,"37.63832380965587, -120.97618424920236",Modesto,,,,,,X,LG,,,1,,Y,4,Y,N/A,Y,4,"R3, previous complaint from adjacent property owner regarding stop.",
YOSEMITE WB LAS FLORES FS,Yosemite Blvd & Las Flores Ave,YOSE WB LASF FS,289,38 50,"37.63834212224272, -120.98132481072028",Modesto,,,,,,,,,,1,,Y,4,Y,4,Y,4,"R0, concrete work needed",
YOSEMITE WB GROVELAND NS,Yosemite Blvd & Groveland St,YOSE WB GROV NS,290,38 50,"37.637425464545835, -120.98684166223757",Modesto,,,,,,,,,,1,,Y ,4,Y,4,Y,4,R1,
D WB 13TH NS,D St & 13th St,D WB 13th NS,291,38 50,"37.637149384841344, -120.99037641280042",Modesto,,,,,,,,X ,COA,1,,Y,4,Y,4,Y,N/A,"R2, Concrete work needed, existing bench",
MALL BACK ENTRANCE,Mall Back Entrance,MALL BACK,293, 22 25 30 31 37,"37.68945709843312, -121.05381266357884",Modesto,44,,X (2),MESH,"501, 502",X (2),LG,X (2),MESH,4,"Recycle Bin,",,,,,,,,
ROSELAWN SB CENTER FS,Roselawn Ave & Center St,ROSL SB CENT FS,294,47,"37.629306440601326, -121.0050365131603",Modesto,,,,,,,,,,1,,N,N/A,N,N/A,N,N/A,"R0, Residential",
ROSELAWN SB TUOLUMNE FS,Roselawn Ave & Tuolumne Blvd,ROSL SB TUOL FS,295,47,"37.62755800327349, -121.0049989869592",Modesto,,,,,,,,X,simme,1,,N,N/A,N,N/A,N,N/A,"R4, Residential",
ROSELAWN SB SOUTH NS,Roselawn Ave & South Ave,ROSL SB SOUT NS,296,47,"37.62433239882398, -121.00497366121574",Modesto,,,,,,,,X,simme,1,,,,,,,,,
ROSELAWN SB ROUSE NS,Roselawn Ave & Rouse Ave,ROSL SB ROUS NS,297,47,"37.62101006464411, -121.00499998128251",Modesto,,,,,,,,,,1,,Y,4,Y,4,Y,4,"R3, Needs Concrete Work",
ROUSE WB LEON NS,Rouse Ave & Leon Ave,ROUS WB LEON NS,298,47,"37.620612606048105, -121.00936645624952",Modesto,,,,,,,,,,1,,N,N/A,N,N/A,N,N/A,"R1, Residential",
ROUSE WB SUTTER FS,Rouse Ave & Sutter Ave,ROUS WB SUTT FS,299,47,"37.62060135171409, -121.01223113654393",Modesto,,X,X,Tolar Sunset 12,,X,SM,X,Tolar,1,,Y,3,Y,3,Y,3,10-2023 Shelter Installed,
ROUSE WB JOSILANE FS,Rouse Ave & Josilane,ROUS WB JOSL FS,300,47,"37.62056424725005, -121.01630067083838",Modesto,,,,,,,,,,1,,N,N/A,N,N/A,N,N/A,"R2, Residential",
BEVERLY WB PARADISE FS,Beverly Dr & Paradise Rd,BEVE WB PARA FS,301,47,"37.62170020846175, -121.02132606733781",Modesto,,,,,,,,X,simme,1,,Y,3,Y,3,Y,3,R8,
BEVERLY WB VERNON NS,Beverly Dr & Vernon Ave,BEVE WB VERN NS,302,47,"37.62165466827098, -121.02789977926543",Modesto,,,,,,,,X,simme,1,,Y,4,Y,4,Y,4,"R3, Needs concrete work",
CARPENTER NB BEVERLY FS,Carpenter Rd & Beverly Dr,CARP NB BEVE FS,303,26,"37.622012756814584, -121.03030043585979",Modesto,,,,,,,,X,simme,2,,N,N/A,N,N/A,N,N/A,"R3, No room",
CARPENTER NB CHICAGO FS,Carpenter Rd & Chicago Ave,CARP NB CHIC FS,304,26,"37.6253510604331, -121.03040134139066",Modesto,,,,,,,,X,COA,2,,Y,4,Y,4,Y,N/A,"R3, Needs concrete work",
CARPENTER NB TORRID NS,Carpenter Rd & Torrid Ave,CARP NB TORR NS,305,33,"37.649182233163074, -121.03083929863305",Modesto,,,,,,,,,,1,BURGER KING ,,,,,,,,
SISK NB BRIGGSMORE FS,Sisk Rd & Briggsmore Ave,SISK NB BRIG FS,309,25 48,"37.66882836119338, -121.03541417736677",Modesto,,,,,,,,x,Simme,1,,Y,4,Y,4,Y,4,R3,
SISK NB PLAZA PARKWAY NS,Sisk Rd & Plaza Pkw,SISK NB PLAZ NS,310,25 48,"37.669947671263564, -121.03680438091702",Modesto,,,,,,,,,,1,,Y,4,Y,4,Y,4,R2 Solar light stolen 5/2023,
SISK NB PLAZA PARKWAY FS,Sisk Rd & Plaza Pkw,SISK NB PLAZ FS,311,25 48,"37.67206969043108, -121.03925971688112",Modesto,,,X,MESH,521,X,LG,X (2),"COA, MESH",1,,N/A,N/A,N/A,N/A,N/A,N/A,"Existing Shelter, trash can solar light stolen 5/2023",
SISK NB EARL FS,Sisk Rd & Earl St,SISK NB EARL FS,312,25 48,"37.67668558497301, -121.04494090397496",Modesto,,,,,,,,,,1,,N,N/A,N,N/A,N,N/A,"R0, No Room",
SISK NB BRENNER FS,Sisk Rd & Brenner Way,SISK NB BREN FS,313,25 48,"37.67925455253588, -121.0480187475916",Modesto,,,,,,,,X,COA,1,,Y,4,Y,4,N/A,N/A,"R0, Existing Bench",
SISK NB RUMBLE FS,Sisk Rd & Rumble Rd,SISK NB RUMB FS,314,25 37 48,"37.6832841608118, -121.04975300028582",Modesto,,,,,,,,X,COA,2,,Y,4,Y,4,N/A,N/A,"R1, Has bench",
SISK SB EARL NS,Sisk Rd & Earl St,SISK SB EARL NS,315,25 48,"37.67629460864794, -121.04470112347933",Modesto,,,,,,,,,,,,,,,,,,,
DALE SB VENEMAN FS,Dale Rd & Veneman Ave,DALE SB VENE FS,316, 22 25 30 31 37 48,"37.68876067675026, -121.0500089843645",Modesto,,,X (3),MESH,"503, 504, 505",X (1),LG,X (4),"3 MESH, COA",4,RECYCLE BIN,,,,,,,,
SISK SB RUMBLE FS,Sisk Rd & Rumble Rd,SISK SB RUMB FS,317,25 48,"37.68168486993129, -121.04979969947884",Modesto,,,X,MESH,519,X,LG,X,"COA, MESH",1,,Y,1,Y,1,N/A,N/A,"R16, Has bench",
SISK SB BRENNER X,Sisk Rd & Brenner Way,SISK SB BREN X,318,25 48,"37.67848694456374, -121.04725680776376",Modesto,,,,,,,,,,1,,N,N/A,Y*,4,N,N/A,"R4, ROW Issues, possible post mt trash can",
SISK SB PLAZA PARKWAY X,Sisk Rd & Plaza Pkw,SISK SB PLAZ X,319,25 48,"37.670868063818155, -121.0381704481419",Modesto,,,X,MESH,520,X,LG,X (2),"COA, MESH",1,RECYCLE BIN,,,,,,,Solar light stolen 5/2023,
CARPENTER SB BLUE GUM FS,Carpenter Rd & Blue Gum Ave,CARP SB BLUE FS,321,33,"37.6601342449868, -121.03129262421083",Modesto,,,X,MESH,674,X,LG,X (2),"COA, MESH",1,ECNO-LUBE,,,,,,,Battery Stolen 2-6-2024,
CARPENTER SB CUMMINS FS,Carpenter Rd & Cummins Dr,CARP SB CUMM FS,322,33,"37.657035874858565, -121.03126128716212",Modesto,,,X,MESH,675,X,LG,X (2),"COA, MESH",1,,,,,,,,,
CARPENTER SB WOODLAND FS,Carpenter Rd & Woodland Ave,CARP SB WOOD FS,323,33,"37.65262285471467, -121.03119717015088",Modesto,,,,,,X,LG,X,COA,1,ARCO ,Y,4,Y,4,Y,4,R3,
CARPENTER SB TORRID FS,Carpenter Rd & Torrid Ave,CARP SB TORR FS,324,33,"37.64931654421852, -121.03108994200178",Modesto,,,,,,,,X,COA,1,,Y,2,Y,2,Y,2,R12,
CARPENTER SB KANSAS FS,Carpenter Rd & Kansas Ave,CARP SB KANS FS,325,33,"37.64734919409401, -121.03055939202584",Modesto,,,,,,X ,"SM, POLE",X,Mesh,1,,Y,2,Y,2,Y,N/A,"R12, Needs concrete work, existing bench",
CARPENTER SB MAZE NS,Carpenter Rd & Maze Blvd,CARP SB MAZE NS,326,33,"37.64078041618884, -121.03054723047636",Modesto,,,,,,,,,,1,AT CANAL,Y,4,Y,4,Y,4,R0,
BEVERLY EB VERNON NS,Beverly Dr & Vernon Ave,BEVE EB VERN NS,331,47,"37.621580089470854, -121.02828602061821",Modesto,,,,,,,,X,simme,1,SLAB ,N,N/A,N,N/A,N,N/A,"R2, Residential",
BEVERLY EB PARADISE NS,Beverly Dr & Paradise Rd,BEVE EB PARA NS,332,47,"37.62158663878536, -121.02204936267843",Modesto,,,,,,,,X,simme,1,,Y,4,Y,4,Y,4,"R2, Needs concrete work",
ROUSE EB HAMMOND FS,Rouse Ave & Hammond St,ROUS EB HAMM FS,333,,"37.62047007271967, -121.0183106929498",Modesto,,,,,,,,,,1,,N,N/A,N,N/A,N,N/A,"R1, Residential, no room",
ROUSE EB MAMILANE NS,Rouse Ave & Mamilane,ROUS EB MAMI NS,334,47,"37.62046587530377, -121.01704298341977",Modesto,,,,,,X,LG,,,1,,N,N/A,Y,N/A,N,N/A,"R0, Existing trash can",
ROUSE EB SUTTER NS,Rouse Ave & Sutter Ave,ROUS EB SUTT NS,335,47,"37.62051367556441, -121.01192067437977",Modesto,,,,,,,,,,1,,Y,3,Y,3,Y,3,"R6, Needs concrete work",
ROUSE EB COLORADO NS,Rouse Ave & Colorado Ave,ROUS EB COLO NS,336,47,"37.62054721115362, -121.00739821399604",Modesto,,,,,,,,X,simme,1,SLAB  ,N,N/A,N,N/A,N,N/A,"R2, Residential",
ROSELAWN NB ROUSE FS,Roselawn Ave & Rouse Ave,ROSL NB ROUS FS,337,47,"37.621261706282496, -121.00489966754664",Modesto,,,,,,,,X,simme,1,SLAB  ,N,N/A,N,N/A,N,N/A,"R8, Residential",
ROSELAWN NB SOUTH FS,Roselawn Ave & South Ave,ROSL NB SOUT FS,338,47,"37.62455516144722, -121.0048294405447",Modesto,,,,,,,,,,1,GOLF COURSE ,N,N/A,N,N/A,N,N/A,"R1, No room, Simme seat posible",
ROSELAWN NB TUOLUMNE NS,Roselawn Ave & Tuolumne Blvd,ROSL NB TUOL NS,339,47,"37.62765567193415, -121.00484653126394",Modesto,,,,,,,,,,1,GOLF COURSE,Y,3,Y,3,Y,N/A,"R6, Concrete work needed",
YOSEMITE EB BEARD FS,Yosemite Blvd & Beard Ave,YOSE EB BEAR FS,348,25 50,"37.63806038024443, -120.94329468678494",Modesto,,,,,,,,,,1,,N,N/A,N,N/A,N,N/A,"R0,  No ROW",
YOSEMITE EB McCLURE NS,Yosemite Blvd & McClure Rd,YOSE EB McCL NS,350,50 61,"37.63810191947118, -120.93055453251871",Modesto,37,,,,,,,,,,former route StaRT & Route 39-stop #350,,,,,,,,
YOSEMITE WB LINCOLN FS,Yosemite Blvd & Lincoln Ave,YOSE WB LINC FS,361,25 50,"37.63826062451544, -120.9417121060373",Modesto,,X,X,Tolar Sunset 12,,X,LG,X,Tolar COA,1,,Y,2,Y,2,N/A,N/A,"R11, Ready for Shelter install",
YOSEMITE WB ROSINA FS,Yosemite Blvd & Rosina Ave,YOSE WB ROSI FS,368,50,"37.63828876749158, -120.96900026001256",Modesto,,,,,,,,,,1,,Y,4,Y,4,Y,4,"R1, Concrete work needed",
OAKDALE NB SCENIC FS,Oakdale Rd & Scenic Dr,OAK NB SCEN FS,373,37,"37.65455247401855, -120.95735274243457",Modesto,,,,,,,,X,COA,1,JACK IN THE BOX,Y,3,Y,3,Y,3,R6,
OAKDALE NB WYLIE FS,Oakdale Rd & Wylie Dr,OAK NB WYLI FS,374,37,"37.658340820221795, -120.95739048908156",Modesto,,,,,,X,LG,X ,COA,1,,Y,4,Y,4,Y,4,R3,
OAKDALE NB MORNINGSIDE FS,Oakdale Rd & Morningside Dr,OAK NB MORN FS,375,37,"37.660559590698185, -120.95740266760146",Modesto,,,,,,,,X,simme ,1,,Y,4,Y,4,Y,N/A,"R0, Existing Simme Seat",
OAKDALE NB ORANGEBURG NS,Oakdale Rd & Orangeburg Ave,OAK NB ORAN NS,376,37,"37.663344504074495, -120.95740723463808",Modesto,,,,,,X,"SM, POLE",X,COA,1,,Y,3,Y,N/A,Y,N/A,"R5, Existing bench & trash can, needs concrete work",
OAKDALE NB MERLE NS,Oakdale Rd & Merle Ave,OAK NB MERL NS,377,37,"37.67000898905333, -120.95750174435341",Modesto,,,,,,X,LG,X,COA,1,RECYCLE BIN   ACE,Y,2,Y,N/A,Y,N/A,"R14, Existing Bench, trash can,  concrete work needed",
OAKDALE NB FLOYD FS,Oakdale Rd & Floyd Ave,OAK NB FLOY FS,378,60,"37.67893334938338, -120.95760201194263",Modesto,,,,,,,,X,simme,1,,,,,,,,,
OAKDALE NB FLOYD SYLVAN MB,Oakdale Rd between Floyd Ave & Sylvan Ave,OAK NB SYLV NS,379,60,"37.68408999825119, -120.95780930030747",Modesto,,,,,,,,X,COA,1,,Y,4,Y,4,Y,N/A,"R0, Existing bench, needs concrete work",
RUMBLE WB MCHENRY FS,Rumble Rd & McHenry Ave,RUMB WB MCH FS,383,37,"37.68182995490463, -120.99512045795886",Modesto,,X,X,Tolar Sunset 8,,X,Shelter,X (2),Tolar COA,1,,Y,4,Y,4,Y,N/A,"R0, Existing bench, needs concrete work",
RUMBLE WB SHERWOOD FS,Rumble Rd & Sherwood Ave,RUMB WB SHER FS,384,37,"37.68205126632379, -120.99839904025184",Modesto,,,,,,,,,,1,,Y,4,Y,4,Y,4,"R0, Needs concrete work",
RUMBLE WB STAFFORD FS,Rumble Rd & Stafford Way,RUMB WB STAF FS,385,37,"37.6820598157768, -121.0021753126477",Modesto,,,,,,,,,,1,,N,N/A,N,N/A,N,N/A,"R0, Residential",
RUMBLE WB NAPIER NS,Rumble Rd & Napier Dr,RUMB WB NAPI NS,386,37,"37.68206612696159, -121.00579582719257",Modesto,,,X,MESH,659,X,LG,X,SHELTER,1,DAVIS PARK CHURCH,,,,,,,,
RUMBLE WB TULLY NS,Rumble Rd & Tully Rd,RUMB WB TULL NS,387,37,"37.682167546176906, -121.0121272207594",Modesto,,,X,MESH,660,,LG,X,MESH,1,X FROM DAVIS HS ,N,N/A,N,N/A,N,N/A,"R12, Residential",
RUMBLE WB SECREST NS,Rumble Rd & Secrest Way,RUMB WB SECR NS,388,37,"37.68203526048832, -121.01779096075015",Modesto,,,,,,,,,,1,,N,N/A,N,N/A,N,N/A,"R0, Residential",
RUMBLE WB RADNOR FS,Rumble Rd & Radner Way,RUMB WB RADN FS,389,37,"37.6818626516838, -121.02347787206062",Modesto,,,,,,,,,,1,,N,N/A,N,N/A,N,N/A,"R3, Residential",
RUMBLE WB PEMBROKE FS,Rumble Rd & Pembroke Dr,RUMB WB PEMB FS,390,37,"37.68192892818882, -121.02704833431694",Modesto,,,,,,,,,,1,,Y,4,Y,4,Y,4,"R0, Needs concrete work",
RUMBLE WB PRESCOTT FS,Rumble Rd & Prescott Rd,RUMB WB PRES NS,391,30 37,"37.68225739675335, -121.03309582105094",Modesto,,X,X,Tolar Sunset 12,,X,Shelter LG,X (2),Tolar,1,,Y,3,Y,N/A,Y,3,"R7, Existing trash can",
RUMBLE WB ASHLAND FS,Rumble Rd & Ashland Way,RUMB WB ASH FS,392,30 37,"37.682366367715545, -121.03790513257593",Modesto,,,,,,,,,,1,,N,N/A,N,N/A,N,N/A,"R0, Residential",
RUMBLE WB CONANT NS,Rumble Rd & Conant Ave,RUMB WB CONA NS,393,30 37,"37.68236022890751, -121.0403879636593",Modesto,,,,,,,,,,1,,N,N/A,N,N/A,N,N/A,"R0, Residential",
RUMBLE WB HAHN FS,Rumble Rd & Hahn Dr,RUMB WB HAHN FS,394,37,"37.682269903229425, -121.04542041597735",Modesto,,,,,,,,X,simme,1,,Y,4,Y,4,Y,4,"R0, Needs concrete work",
RUMBLE WB SISK NS,Rumble Rd & Sisk Rd,RUMB WB SISK NS,395,37,"37.682226630794574, -121.04845494415638",Modesto,,,,,,,,X,Mesh,1,RED LOBSTER ,Y,4,Y,4,Y,4,R0,
STANDIFORD EB DALE FS,Standiford Ave & Dale Rd,STAN EB DALE FS,396,22 30,"37.6852242383531, -121.0482397176531",Modesto,,,X,MESH,506,X,LG,X (2),"COA, MESH",2,,,,,,,,,
STANDIFORD EB HAHN FS,Standiford Ave & Hahn Dr,STAN EB HAHN FS,397,22 30 *,"37.685455495631984, -121.04440891616619",Modesto,,,X *,MESH,507,X,LG,X,MESH,2, All Panels Brokenout,,,,,,,,
CONANT SB STANDIFORD FS,Conant Ave & Standiford Ave,CONA SB STAN FS,398,30,"37.684445438659345, -121.04064764761561",Modesto,,,X,MESH,665,X,LG,X,SHELTER,1,,,,,,,,motion light installed 2-8-2024,
RUMBLE EB CONANT FS,Rumble Rd & Conant Ave,RUMB EB CONA FS,399,30 37,"37.68224689714015, -121.04020134139039",Modesto,,X,X,Tolar Sunset 12,,X,Sm shelter,X (2),Tolar,1,,Y,3,Y,3,Y,3,"R7, Needs concrete work, school",
RUMBLE EB PRESCOTT NS,Rumble Rd & Prescott Rd,RUMB EB PRES NS,400,37,"37.682292227819495, -121.03451602359952",Modesto,,,,,,,,X,simme,1,X From Prescott JR High,Y,3,Y,3,Y,N/A,"R5, needs concrete work",
RUMBLE EB PRESCOTT FS,Rumble Rd & Prescott Rd,RUMB EB PRES FS,401,30 37,"37.681842414660295, -121.03063931481131",Modesto,,,,,,,,,,1,,Y,3,Y,3,Y,3,"R5, needs concrete work",
RUMBLE EB HUNT FS,Rumble Rd & Hunt Ave,RUMB EB HUNT FS,402,37,"37.68174946756385, -121.0238584260445",Modesto,,,,,,,,,,1,,N,N/A,N,N/A,N,N/A,"R10, Residential",
RUMBLE EB CAMPBELL THORNTON MB,Rumble Rd between Campbell Ln & Thornton Ct,RUMB EB CAMP MB,403,37,"37.68153848927263, -121.01986982543329",Modesto,,,,,,,,,,1,DAVIS HS  ,N,N/A,N,N/A,N,N/A,"R4, Residential",
