Stop Name,Internet Label,Avail Label,Stop Number,Routes Served,GPS,City,StaRT Stop ID,Solar Light,Shelter,Shelter Type,Asset Number2,Garbage Can,Garbage Can Type,Bench,Bench Type,Frames Needed,Landmark/Notes,Shelter Possible (Y/N),Priority,Trash Can Possible (Y/N),Priority2,Bench Possible w/o shelter (Y/N),Priority3,Notes,Column1
CARPENTER NB HOUSER FS,Carpenter Rd & Houser Ln,CARP NB HOUS FS,40,26 36,"37.62803451294745, -121.03040451014927",Modesto,,,X,MESH,676,X ,LG,X,COA,2,,Y,4,Y,4,Y,4,R3,
CARPENTER NB MAZE NS,Central Catholic HS - Carpenter Rd & Maze Blvd,CARP NB MAZE NS,42,26 33 36,"37.637031150767235, -121.03039889445904",Modesto,,,,,,,,,,1,,Y ,4,Y,4,Y,4,R2,
CARPENTER NB HILLVIEW FS,Carpenter Rd & Hillview Dr,CARP NB HILL FS,43,26 33 36,"37.64033681663287, -121.03030724195429",Modesto,,,,,,,,,,1,,N,N/A,N,N/A,N,N/A,"R0, no room",
CARPENTER NB ELM FS,Carpenter Rd & Elm Ave,CARP NB ELM FS,44,26 33 36,"37.643565041643505, -121.03010402359976",Modesto,,,,,,,,x,Blue mesh,1,HARLEY DAVIDSON,Y,2,Y,2,Y,4,New Sidewalk on 7/2022 by other,
KANSAS EB CARPENTER FS,Kansas Ave & Carpenter Rd,KANS EB CARP FS,45,26,"37.645938978893376, -121.02890995207315",Modesto,,,,,,,,X,simme,,,Y,,Y,,Y,,Moved from Carpenter formerly served 26 and 36 in front of Taco Bell,
KANSAS EB LONE PALM X,Kansas Ave & Lone Palm Ave,KANS EB LONE X,46,26,"37.645923776545466, -121.02329246412803",Modesto,,,X,MESH,678,X ,"SM, STONE",,,1,X FROM LONE PALM,Y,1,Y,1,N,N/A,"R20, Existing bench",
EMERALD SB KANSAS FS,Emerald Ave & Kansas Ave,EMER SB KANS FS,47,26,"37.64563952728816, -121.02115546240613",Modesto,,,,,,,,X,simme,1,,Y,1?,Y,1,Y,1,"R27, Property owner has complained of homeless at bench",
EMERALD SB ELM FS,Emerald Ave & Elm Ave,EMER SB ELM FS,48,26,"37.642971308198085, -121.0211748494963",Modesto,,X,,,,,,,,1,,N,N/A,N,N/A,N,N/A,"R17, Residential",
EMERALD SB LAUREL MATHIA MB,Emerald Ave between Laurel Ave & Mathia Dr,EMER SB LAUR MB,49,26,"37.64109824980208, -121.02111175351338",Modesto,,,,,,7,,,,1,CANAL,Y,3,Y,3,Y,3,R6,
MAZE EB SPENCER NS,Maze Blvd & Spencer Ave,MAZE EB SPEN NS,50,26,"37.63858541629548, -121.01766108582049",Modesto,,,,,,,,x,Simme,1,,N,N/A,Y,4,N,N/A,"R17,Received bid, too costly to improve ",
MAZE EB MLK BLVD NS,Maze Blvd & Martin Luther King Dr,MAZE EB MLK NS,51,26,"37.638604382514146, -121.01199976591573",Modesto,,,X,MESH,680,X ,LG ,X,COA,1,,Y,1,Y,1,N,N/A,"R26, Might need concrete work, signs moved - CalTrans",
MAZE EB JEFFERSON NS,Maze Blvd & Jefferson St,MAZE EB JEFF NS,52,26,"37.63857794156316, -121.00910193595723",Modesto,,,,,,,,,,1,,N,N/A,N,N/A,Y,3,"R7, No room",
L EB 7TH NS,L St & 7th St,L EB 7TH NS,53,26,"37.64008793680812, -121.00560335763632",Modesto,,,,,,,,,,1,,N,N/A,N,N/A,Y,4,R1,
MCHENRY NB NORWEGIAN FS,McHenry Ave & Norwegian Ave,MCH NB NORW FS,65,"22, 23, 60","37.67150376388609, -120.99388279103593",Modesto,75,,,,,X,LG,X,COA,1,"former StaRT, RECYCLE BIN",Y,3,N/A,N/A,N/A,N/A,"R7, Existing bench & trash can",
MCHENRY NB TOKAY FS,McHenry Ave & Tokay Ave,MCH NB TOKA FS,66,"22, 23","37.673073131043544, -120.99394149071178",Modesto,,,,,,X,LG,X,COA,1,,Y,4,N/A,N/A,N/A,N/A,"R1, Existing bench & trash can",
MCHENRY NB MARK RANDY NS,McHenry Ave & Mark Randy Pl,MCH NB MARK NS,67,"22, 23","37.67516105812804, -120.99402832345334",Modesto,,,,,,X,LG,X,COA,1,RECYCLE BIN,Y,2,N/A,N/A,N/A,N/A,"R10, Existing bench & trash can",
MCHENRY NB SHEILA NS,McHenry Ave & Sheila Ct,MCH NB SHEI NS,68,"22, 23","37.676676435340674, -120.99403193030913",Modesto,,,,,,X,LG,X,COA,1,,,,,,,,,
MCHENRY NB FLOYD FS,McHenry Ave & Floyd Ave,MCH NB FLOY FS,69,22 23 37,"37.67884551083826, -120.99400738695098",Modesto,76,,X,MESH,527,X,LG,X (2),COA S BENCH,1,RECYCLE BIN In-Shape City ,,,,,,,,
MCHENRY NB RUMBLE FS,McHenry Ave & Rumble Rd,MCH NB RUMB FS,70,22 23 37,"37.68226385021516, -120.99409495348672",Modesto,,,,,,X,LG,X,COA,2,,Y,3,N/A,N/A,N/A,N/A,"R6, Existing bench & trash can",
MCHENRY NB ROBINHOOD NS,McHenry Ave & Robinhood Dr,MCH NB ROBIN NS,71,22 23 37,"37.68516764470822, -120.99414428946747",Modesto,,,,,,X,LG,X,COA,2,,,,,,,,,
MCHENRY NB SYLVAN FS,McHenry Ave & Sylvan Ave,MCH NB SYLV FS,72,23,"37.68953073800321, -120.99422277907982",Modesto,77,,,,,X,LG,X,COA,1,RECYCLE BIN,Y,4,N/A,N/A,N/A,N/A,"R0, Existing bench & trash can",
MCHENRY NB WARREN FS,McHenry Ave & Warren Way,MCH NB WARR FS,73,23,"37.691336365675895, -120.99425632667732",Modesto,,,,,,X,LG,X,COA,1,RECYCLE BIN,Y,4,N/A,N/A,N/A,N/A,"R1, Existing bench & trash can",
MCHENRY NB CORALWOOD NS,McHenry Ave & Coralwood Rd,MCH NB CORA NS,74,23,"37.695138230838054, -120.99432046640028",Modesto,78,,X,MESH,528,X,LG,X (2),COA 1 S BENCH,1,RECYCLE BIN,,,,,,,,
MCHENRY NB GRECIAN NS,McHenry Ave & Grecian Ave,MCH NB GREC NS,75,23,"37.697221140360426, -120.99436437330462",Modesto,,,X,PG,529,X,LG,X,S. BENCH,1,,,,,,,,,
MCHENRY Ave NB AUTO CENTER NS,Auto Center,MCH NB AUTO NS,76,23,"37.700714011040155, -120.9943765680191",Modesto,,,,,,,,X,COA,1,,Y,4,Y,4,N/A,N/A,"R0, Existing bench",
BANGS WB SPYRES FS,Bangs Ave & Spyres Way,BANG WB SPYR FS,77,23,"37.70371389551697, -120.99870153616482",Modesto,,,,,,,,X,COA,1,,Y,4,Y,4,N/A,N/A,"R0, Existing bench, needs concrete work",
BANGS WB NORTHSTAR NS,Bangs Ave & Northstar Way,BANG WB NSTR NS,78,23,"37.70369318143252, -121.0014080469131",Modesto,,,,,,,,,,1,,Y,4,Y,4,Y,4,"R0, needs concrete work",
NORTHSTAR NB GLASS NS,Northstar Way & Glass Ln,NSTR NB GLAS NS,79,23,"37.705306598505544, -121.00234945974428",Modesto,,,,,,,,,,1,,Y,4,Y,4,Y,4,"R0, Needs concrete work, possible ROW issues",
GALAXY EB NORTHSTAR FS,Galaxy Way & Northstar Way,GALA EB NSTA FS,80,23,"37.70764915633563, -121.00151755674017",Modesto,,,,,,,,,,1,,Y,4,Y,4,Y,4,R0,
STRATOS NB GALAXY FS,Stratos Way & Galaxy Way,STRA NB GALA FS,81,23,"37.707948653711085, -121.00010753158905",Modesto,,X,X,Tolar Sunset 8,,X (2),Shelter LG,X,Tolar,1,,,,,,,,,
KIERNAN EB STRATOS FS,Kiernan Ave & Stratos Way,KIER EB STRA FS,82,23,"37.711028406817334, -120.99980201194255",Modesto,,,,,,,,,,1,,Y,4,Y,4,Y,4,"R0, needs concrete work",
KIERNAN EB MCHENRY NS,Kiernan Ave & McHenry Ave,KIER EB MCH NS,83,23,"37.71094332189972, -120.99629274020035",Modesto,,,,,,X ,LG,X,COA,1,,Y,4,Y,4,Y,4,"R0, Existing bench & trash can",
MCHENRY SB BANGS NS,McHenry Ave & Bangs Ave,MCH SB BANG NS,85,23,"37.70433664534171, -120.99482533308328",Modesto,100,,,,,,,X,COA,1,,Y,4,Y,4,N/A,N/A,"R0, Existing bench",
MCHENRY SB PELANDALE NS,McHenry Ave & Pelandale Ave,MCH SB PELA NS,86,23,"37.700314826334484, -120.9947017064663",Modesto,,,,,,X,LG,X,Simme,1,,Y,4,N/A,N/A,Y,4,R0,
MCHENRY SB W UNION FS,McHenry Ave & Union Ave,MCH SB W U FS,88,23,"37.692844941405916, -120.99451445638188",Modesto,101,,,,,X,LG,X,COA,1,Golden Corral,Y,4,Y,4,N/A,N/A,"R0, existing bench",
MCHENRY SB STANDIFORD FS,McHenry Ave & Standiford Ave,MCH SB STAN FS,89, 22 23 37,"37.68808628375755, -120.99437317819469",Modesto,102,,X,MESH,531,X,LG,X,COA,2,RECYCLE BIN,,,,,,,,
MCHENRY SB WOODROW FS,McHenry Ave & Woodrow Ave,MCH SB WOOD FS,90,22 23 37,"37.68455812000477, -120.99430835080074",Modesto,,,,,,X,LG,X,COA,2,,Y,2,N/A,N/A,N/A,N/A,"R10, Existing bench & Trash can, needs concrete work",
MCHENRY SB RUMBLE FS,McHenry Ave & Rumble Rd,MCH SB RUMB FS,91,   22 23 37,"37.68092058250945, -120.99427331163187",Modesto,,,X,MESH,532,X,LG,X (2),"COA, MESH",1,RECYCLE BIN,,,,,,,motion light installed 2-8-2024,
MCHENRY SB FLOYD X,McHenry Ave & Floyd Ave,MCH SB FLOY X,92,22 23,"37.67829787294713, -120.99424846216672",Modesto,103,,X,MESH,533,X,LG,X,COA,1,,Y,2,N/A,N/A,N/A,N/A,"R14, Existing bench & trash can, needs concrete work",
MCHENRY SB BOWEN FS,McHenry Ave & Bowen Ave,MCH SB BOWE FS,93,22 23,"37.673171450237305, -120.99422591959336",Modesto,104,,X,MESH,534,X,LG,X (2),"COA, S BENCH",1,RECYCLE BIN,,,,,,,,
I EB 12TH NS,I St & 12th St,I EB 12TH NS,103,32,"37.64082314477831, -120.9973711392505",Modesto,,,X,MESH,667,X (2),"LG, CEMENT",,,1,COURT HOUSE  ,Y,1,Y,1,Y,N/A,"R52, Existing benches",
I EB 14TH FS,I St & 14th St,I EB 14TH FS,104,32,"37.64246786239308, -120.99516744217951",Modesto,,,,,,,,X  ,MU BENCH,1,MUSEUM  ,Y,4,Y,4,Y,N/A,"R2, Existing bench",
I EB 15TH FS,I St & 15th St,I EB 15TH FS,105,32,"37.64324774228034, -120.9941161361713",Modesto,,,x,MESH,668,,,X ,COA,1,LIBRARY  ,Y,4,Y,4,Y,N/A,"R2, Existing bench",
I EB 17th NS,I St & 17th St,I EB 17th NS,106,32,"37.64427583875986, -120.99274798863087",Modesto,,,X,MESH,669,X (2),LG ,X (2),"COA, SHELTER",1,,,,,,,,,
BURNEY NB LA LOMA NS,Burney St & LaLoma Ave,BURN NB LALO NS,107,32 37 60,"37.6441373415506, -120.98887854261318",Modesto,,,,,,,,,,1,,Y,3,Y,3,Y,3,"R7, Concrete work needed?",
SCENIC EB MELROSE NS,Scenic Dr & Melrose Ave,SCEN EB MELR NS,108,32 37 60,"37.646197668554166, -120.98680057302158",Modesto,,,,,,X,LG,X,simme,1,,N,N/A,Y,N/A,Y,N/A,"R0, Existing garbage can & Simme seat",
MCHENRY NB GRANGER FS,McHenry Village - McHenry Ave & Granger Ave,MCH NB GRAN FS,115,"22, 23","37.668401538156175, -120.9939058804752",Modesto,,,X,MESH,526,X,LG,X (2),"COA, S BENCH",1,RECYCLE BIN,,,,,,,,
COFFEE NB CELESTE FS,Coffee Rd & Celeste Dr,COFF NB CELE FS,119,32,"37.67212820935532, -120.97560136543657",Modesto,,,,,,,,x,simme,1,,Y,4,Y,4,Y,4,"R0, Needs concrete work",
COFFEE NB ATHENS FS,Coffee Rd & Athens Ave,COFF NB ATHE FS,120,32,"37.67417662299524, -120.97563898919068",Modesto,,,,,,,,,,1,,Y,4,Y,4,Y,4,"R1, needs concrete work",
COFFEE NB FLOYD NS,Coffee Rd & Floyd Ave,COFF NB FLOY NS,121,32,"37.67774069617736, -120.97570201194269",Modesto,,,,,,X,LG,X,COA,1,,Y,3,Y,N/A,Y,N/A,"R7, Need concrete work, existing bench & garbage can",
COFFEE NB FLOYD RUMBLE MB,Coffee Rd between Floyd Ave & Rumble Rd,COFF NB FLOY FS,122,32,"37.679710398228494, -120.9758008528734",Modesto,,,,,,,,,,1,QUICKSTOP,Y,3,Y,3,Y,3,R7,
COFFEE NB THORSEN FS,Coffee Rd & Thorsen Ave,COFF NB THOR FS,123,32,"37.68532847306517, -120.97589024279104",Modesto,,x,x,Tolar Sunset 12,,x,Shelter,x,Tolar,1,,Y,4,Y,4,Y,4,"R3, Needs concrete work",
ROSELLE SB MERLE FS,Roselle Ave & Merle Ave,RSLL SB MERL FS,146,24,"37.67032522133031, -120.93980862975515",Modesto,,,,,,,,,,1,,N,N/A,N,N/A,N,N/A,"R4, No room",
LAKEWOOD SB BRIGGSMORE FS,Lakewood Ave & Briggsmore Ave,LAKE SB BRIG FS,147,24,"37.66649013149414, -120.93950285690036",Modesto,,,,,,,,,,1,,Y,4,Y,4,Y,4,"R1, Needs concrete work",
SCENIC WB ROSE FS,Scenic Dr & Rose Ave,SCEN WB ROSE FS,158,37,"37.65103111472752, -120.96840087325329",Modesto,,,,,,,,x,COA,1,,Y,3,Y,3,Y,N/A,"R9, Needs concrete work, Existing Bench",
SCENIC WB SUNNYSIDE FS,Scenic Dr & Sunnyside Ave,SCEN WB SUNY FS,159,37,"37.649570086948884, -120.97390369608858",Modesto,,,,,,,,,,1,,Y,4,Y,4,Y,4,"R2, Needs concrete work",
SCENIC WB BODEM FS,Scenic Dr & Bodem St,SCEN WB BODE FS,160,32 37 60,"37.64666495633899, -120.9859102905709",Modesto,,,X,Tolar Sunset 16,,X,LG,x,Shelter,1,,,,,,,,,
I ST WB 17TH NS,I St & 17th St,I ST WB 17TH NS,161,32,"37.64475920122844, -120.99243620522282",Modesto,,,X,MESH,670,X,LG,X,SHELTER,1,RASTON TOWERS,,,,,,,,
I ST WB 16TH FS,I St & 16th St,I ST WB 16TH FS,162,22 23 32,"37.64368134781943, -120.99384470734688",Modesto,,,X,MESH,671,X,LG,X ,COA,1,,Y,1,Y,1,Y,1,R42,
I ST WB 14TH FS,I St & 14th St,I ST WB 14TH FS,163,22 23 32,"37.64225714698879, -120.99557433104962",Modesto,,,,,,X,CEMENT,X ,COA,1,,Y,4,Y,N/A,Y,N/A,"R2, Needs Concrete work, existing bench, garbage can",
I ST WB 11TH FS,I St & 11th St,I ST WB 11TH FS,164,22 23 32,"37.64014992366463, -120.99847818839575",Modesto,,,,,,X,CEMENT,X ,COA,1,CLERK/RECORDER,Y,4,Y,4,Y,N/A,"R0, Needs concrete work, existing bench",
COFFEE NB RUMBLE FS,Coffee Rd & Rumble Rd,COFF NB RUMB FS,167,32,"37.68207097429595, -120.97584256778397",Modesto,,X,X,Tolar Sunset 12,,X,Shelter,X,Tolar,1,Shelter damaged - removed 10-11-2023,Y,1,Y,1,Y,1,"R24, Needs concrete work Shelter was destroyed or stolen 10-11-2023",
9TH SB G FS,9th St & G St,9TH SB G FS,169,29 29T 38 42 50,"37.63651750001912, -120.99752228558893",Modesto,,,,,,,,X,simme,1,,N,N/A,N,N/A,N,N/A,No room. Planning working on project simme installed 10/2021,
9TH SB D NS,9th St & D St,9TH SB D NS,170,29 29T 42,"37.63412413072364, -120.99462598178967",Modesto,,,,,,,,,,1,BOYETT PETROLEUM,Y,4,Y,4,Y,4,R 4,
9TH SB RIVER FS,9th St & River Rd,9TH SB RIVER FS,171,29 29T 42,"37.62582423783857, -120.98702070859592",Modesto,,,,,,,,,,1,SLAB,Y,4,Y,4,Y,4,"R5, ROW issues",
9TH SB HOSMER NS,9th St & Hosmer Ave,9TH SB HOSM NS,172,29 29T 42,"37.62291876379218, -120.98631290034577",Modesto,,,,,,,,,,1,,Y,3,Y,3,Y,3,"R7, need concrete, ROW issues",
9TH SB SONORA NS,9th St & Sonora Ave,9TH SB SONO NS,173,29 29T 42,"37.62068140173054, -120.98571492713681",Modesto,,,,,,,,,,1,,Y,4,Y,4,Y,4,"R4, Need concrete, ROW issues",
LATIMER EB BYSTRUM FS,Latimer Ave & Bystrum Rd,LATI EB BYST FS,174,29 29T,"37.618455827104874, -120.98410197086571",Modesto,,,,,,,,,,1,,Y,4,Y,4,Y,4,"R5, need concrete work",
LATIMER EB FALLEN LEAF FS,Latimer Ave & Fallen Leaf Ln,LATI EB FALL FS,175,29 29T,"37.61843069698938, -120.98210265890245",Modesto,,,,,,,,,,1,,N,N/A,N,N/A,N,N/A,"R0, no room",
LATIMER EB AVON NS,Latimer Ave & Avon St,LATI EB AVON NS,176,29 29T,"37.618412219108244, -120.97959998828055",Modesto,,,,,,,,,,1,,N,N/A,N,N/A,N,N/A,"R4, Residential-Adjacent Property owner objection",
SONORA EB AVON FS,Sonora Ave & Avon St,SONO EB AVON FS,177,29 29T,"37.62019829609684, -120.97900000028609",Modesto,,,,,,,,,,1,,Y,4,Y,4,Y,4,"R2, needs concrete work",
SONORA EB HERNDON NS,Sonora Ave & Herndon Rd,SONO EB HERN NS,178,29 29T,"37.62018922033446, -120.9757460106265",Modesto,,X,X,Tolar Sunset 12,,X,SM,X,Tolar,1,,Y,3,Y,3,Y,3,10-2023 Shelter Installed,
HERNDON SB PECOS NS,Herndon Rd & Pecos Ave,HERN SB PECO NS,179,29 29T,"37.616851698046936, -120.97540214619322",Modesto,,,,,,,,,,1,,Y,3,Y,3,Y,3,"R6, ROW issues",
NADINE EB HERNDON FS,Nadine Ave & Herndon Rd,NADI EB HERN FS,180,29 29T,"37.612969622536745, -120.97510531287713",Modesto,,,,,,,,,,1,,N,N/A,N,N/A,N,N/A,"R11, No room",
NADINE EB MUSICK FS,Nadine Ave & Musick Ave,NADI EB MUSI FS,181,29 29T,"37.61297637239956, -120.97052279906525",Modesto,,,,,,,,,,1,,Y,3,Y,3,Y,3,"R5, Concrete work needed",
NADINE EB RICHLAND NS,Richland Ave & Nadine Ave,RICH SB NADI FS,182,29 29T,"37.61289744369092, -120.96693171539273",Modesto,,,,,,,,,,1,,Y,3,Y,3,Y,3,"R9, Possible ROW issues",
JFK HOWARD CNTR,JFK Howard Center - Stonum Rd & Hatch Rd,JFK HOWARD CNTR,184,29 29T,"37.61032065911186, -120.96155330112697",Ceres,,,X,MESH,688,X,LG,X,Shelter,1,Howard Training Center ,,,,,,,,
HATCH WB HERNDON NS,Hatch Rd & Herndon Rd,HATC WB HERN NS,185,47,"37.609415999971205, -120.97169903858264",Ceres,33,,X ,MESH TOLAR,612,X,LG,X (2),"COA, MESH",1,former CAT Route & StaRT,N/A,N/A,N/A,N/A,N/A,N/A,"R60, Existing Shelter",
CROWS LANDING NB SCHOOL FS,Crows Landing Rd & School Ave,CROW NB SCH FS,189,40 42,"37.61254964442745, -120.99350134558374",Modesto,,,X,MESH,635,X,LG,,,1,,Y,1,Y,1,Y,1,"R19, Need concrete work",
CROWSLANDING NB BLANKENBURG FS,Crows Landing Rd & Blankenburg Ave,CROW NB BLAN FS,190,42,"37.6215099233573, -120.99350134139064",Modesto,,, ,,,,,x,Simme,1,,Y,4,Y,4,Y,4,"R3, Engineering project underway",
,7th St & Crows Landing Rd,7TH SB CROW FS,191,42,"37.62378407140516, -120.99264375199684",Modesto,,X,X, MESH,690,X,LG,x,Mesh,1,SLAB,Y,1,Y,1,Y,1,R19,
7TH SB BJ MINI MART,7th St at BJ Mini Mart,7TH SB at BJ,193,42,"37.61968604955684, -120.98994484354563",Modesto,,,,,,,,,,1,,Y,2,Y,2,Y,2,"R12, ROW issues",
7TH SB PECOS FS,7th St & Pecos Ave,7TH SB PECO FS,194,42,"37.61605470895655, -120.98591805501518",Modesto,,,X, MESH,687,X,LG,x,Mesh,1,SLAB,,,,,,,,
HERNDON NB HOLM FS,Herndon Rd & Holm Ave,HERN NB HOLM FS,198,29 29T,"37.6141331852764, -120.97530134139066",Modesto,,X,,,,,,X,Simme,1,,,,,,,,,
HERNDON NB PECOS NS,Herndon Rd & Pecos Ave,HERN NB PECO NS,199,29 29T,"37.61637099961501, -120.97526083709573",Modesto,,,,,,,,,,1,,N,N/A,N,N/A,N,N/A,"R8, Possible Simme seat - Residential",
HERNDON NB LATIMER X,Herndon Rd & Latimer Ave,HERN NB LATI X,200,,"37.618411634298965, -120.97523686978107",Modesto,,,,,,,,,,1,,N,N/A,N,N/A,N,N/A,"R4, Residential-No room",
HERNDON NB LUCCHESI NS,Herndon Rd & Lucchesi Ln,HERN NB LUCC NS,201,29 29T,"37.61952164519652, -120.97525765611994",Modesto,,,,,,,,,,1,,N,N/A,N,N/A,N,N/A,"R17, No room",
SONORA WB AVON NS,Sonora Ave & Avon St,SONO WB AVON NS,202,29 29T,"37.620272653886246, -120.97891953401249",Modesto,,,X,MESH,613,,,X,MESH,1,,Y,1,Y,1,Y,1,"R23, need concrete work",
LATIMER WB AVON FS,Latimer Ave & Avon St,LATI WB AVON FS,203,29 29T,"37.6184746047095, -120.97962580631672",Modesto,,,,,,,,,,1,,N,N/A,N,N/A,N,N/A,"R14, possible Simme seat - residential",
