"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1400000US06001408900","Census Tract 4089, Alameda County, California","3546","357"
"1400000US06001409000","Census Tract 4090, Alameda County, California","4687","593"
"1400000US06001409100","Census Tract 4091, Alameda County, California","2490","231"
"1400000US06001409200","Census Tract 4092, Alameda County, California","3672","272"
"1400000US06001409300","Census Tract 4093, Alameda County, California","5303","623"
"1400000US06001409400","Census Tract 4094, Alameda County, California","4780","652"
"1400000US06001409500","Census Tract 4095, Alameda County, California","4128","347"
"1400000US06001409600","Census Tract 4096, Alameda County, California","4978","629"
"1400000US06001409700","Census Tract 4097, Alameda County, California","4991","598"
"1400000US06001409800","Census Tract 4098, Alameda County, California","3516","512"
"1400000US06001409900","Census Tract 4099, Alameda County, California","3642","402"
"1400000US06001410000","Census Tract 4100, Alameda County, California","3242","342"
"1400000US06001410100","Census Tract 4101, Alameda County, California","2667","227"
"1400000US06001410200","Census Tract 4102, Alameda County, California","3630","464"
"1400000US06001410300","Census Tract 4103, Alameda County, California","3857","288"
"1400000US06001410400","Census Tract 4104, Alameda County, California","4477","388"
"1400000US06001410500","Census Tract 4105, Alameda County, California","2705","285"
"1400000US06001420100","Census Tract 4201, Alameda County, California","2440","139"
"1400000US06001420200","Census Tract 4202, Alameda County, California","3332","255"
"1400000US06001420300","Census Tract 4203, Alameda County, California","4977","454"
"1400000US06001420400","Census Tract 4204, Alameda County, California","3062","245"
"1400000US06001420500","Census Tract 4205, Alameda County, California","2557","188"
"1400000US06001420600","Census Tract 4206, Alameda County, California","3436","239"
"1400000US06001421100","Census Tract 4211, Alameda County, California","2084","124"
"1400000US06001421200","Census Tract 4212, Alameda County, California","3594","175"
"1400000US06001421300","Census Tract 4213, Alameda County, California","3873","275"
"1400000US06001421400","Census Tract 4214, Alameda County, California","1634","135"
"1400000US06001421500","Census Tract 4215, Alameda County, California","3694","223"
"1400000US06001421600","Census Tract 4216, Alameda County, California","3617","228"
"1400000US06001421700","Census Tract 4217, Alameda County, California","3492","279"
"1400000US06001421800","Census Tract 4218, Alameda County, California","2144","136"
"1400000US06001421900","Census Tract 4219, Alameda County, California","4171","365"
"1400000US06001422000","Census Tract 4220, Alameda County, California","2156","187"
"1400000US06001422100","Census Tract 4221, Alameda County, California","3073","304"
"1400000US06001422200","Census Tract 4222, Alameda County, California","3237","253"
"1400000US06001422300","Census Tract 4223, Alameda County, California","3643","372"
"1400000US06001422400","Census Tract 4224, Alameda County, California","4487","387"
"1400000US06001422500","Census Tract 4225, Alameda County, California","4400","341"
"1400000US06001422600","Census Tract 4226, Alameda County, California","1043","182"
"1400000US06001422700","Census Tract 4227, Alameda County, California","5266","504"
"1400000US06001422800","Census Tract 4228, Alameda County, California","9064","493"
"1400000US06001422900","Census Tract 4229, Alameda County, California","5761","714"
"1400000US06001423000","Census Tract 4230, Alameda County, California","4962","408"
"1400000US06001423100","Census Tract 4231, Alameda County, California","4413","284"
"1400000US06001423200","Census Tract 4232, Alameda County, California","2982","402"
"1400000US06001423300","Census Tract 4233, Alameda County, California","3504","296"
"1400000US06001423400","Census Tract 4234, Alameda County, California","5163","535"
"1400000US06001423500","Census Tract 4235, Alameda County, California","3426","241"
"1400000US06001423601","Census Tract 4236.01, Alameda County, California","2671","227"
"1400000US06001423602","Census Tract 4236.02, Alameda County, California","6528","1059"
"1400000US06001423700","Census Tract 4237, Alameda County, California","4148","576"
"1400000US06001423800","Census Tract 4238, Alameda County, California","2986","222"
"1400000US06001423901","Census Tract 4239.01, Alameda County, California","2054","245"
"1400000US06001423902","Census Tract 4239.02, Alameda County, California","1605","126"
"1400000US06001424001","Census Tract 4240.01, Alameda County, California","4027","320"
"1400000US06001424002","Census Tract 4240.02, Alameda County, California","2583","309"
"1400000US06001425101","Census Tract 4251.01, Alameda County, California","1659","144"
"1400000US06001425102","Census Tract 4251.02, Alameda County, California","3906","256"
"1400000US06001425103","Census Tract 4251.03, Alameda County, California","2795","195"
"1400000US06001425104","Census Tract 4251.04, Alameda County, California","3539","266"
"1400000US06001426100","Census Tract 4261, Alameda County, California","6521","213"
"1400000US06001426200","Census Tract 4262, Alameda County, California","4796","209"
"1400000US06001427100","Census Tract 4271, Alameda County, California","3975","301"
"1400000US06001427200","Census Tract 4272, Alameda County, California","4180","349"
"1400000US06001427300","Census Tract 4273, Alameda County, California","5346","278"
"1400000US06001427600","Census Tract 4276, Alameda County, California","5200","444"
"1400000US06001427700","Census Tract 4277, Alameda County, California","5201","352"
"1400000US06001427800","Census Tract 4278, Alameda County, California","4954","514"
"1400000US06001427900","Census Tract 4279, Alameda County, California","5052","382"
"1400000US06001428000","Census Tract 4280, Alameda County, California","2877","230"
"1400000US06001428100","Census Tract 4281, Alameda County, California","4839","272"
"1400000US06001428200","Census Tract 4282, Alameda County, California","6606","353"
"1400000US06001428301","Census Tract 4283.01, Alameda County, California","7277","411"
"1400000US06001428302","Census Tract 4283.02, Alameda County, California","7424","481"
"1400000US06001428400","Census Tract 4284, Alameda County, California","4568","318"
"1400000US06001428500","Census Tract 4285, Alameda County, California","3097","282"
"1400000US06001428600","Census Tract 4286, Alameda County, California","3454","250"
"1400000US06001428700","Census Tract 4287, Alameda County, California","4472","335"
"1400000US06001430101","Census Tract 4301.01, Alameda County, California","6842","509"
"1400000US06001430102","Census Tract 4301.02, Alameda County, California","2424","209"
"1400000US06001430200","Census Tract 4302, Alameda County, California","6878","403"
"1400000US06001430300","Census Tract 4303, Alameda County, California","3826","202"
"1400000US06001430400","Census Tract 4304, Alameda County, California","2107","163"
"1400000US06001430500","Census Tract 4305, Alameda County, California","5987","473"
"1400000US06001430600","Census Tract 4306, Alameda County, California","6486","374"
"1400000US06001430700","Census Tract 4307, Alameda County, California","4170","219"
"1400000US06001430800","Census Tract 4308, Alameda County, California","5282","485"
"1400000US06001430900","Census Tract 4309, Alameda County, California","5309","363"
"1400000US06001431000","Census Tract 4310, Alameda County, California","2777","285"
"1400000US06001431100","Census Tract 4311, Alameda County, California","3561","320"
"1400000US06001431200","Census Tract 4312, Alameda County, California","5574","453"
"1400000US06001432100","Census Tract 4321, Alameda County, California","3574","281"
"1400000US06001432200","Census Tract 4322, Alameda County, California","4078","272"
"1400000US06001432300","Census Tract 4323, Alameda County, California","4744","245"
"1400000US06001432400","Census Tract 4324, Alameda County, California","7003","536"
"1400000US06001432501","Census Tract 4325.01, Alameda County, California","4854","385"
"1400000US06001432502","Census Tract 4325.02, Alameda County, California","5178","373"
"1400000US06001432600","Census Tract 4326, Alameda County, California","7043","431"
"1400000US06001432700","Census Tract 4327, Alameda County, California","2816","185"
"1400000US06001432800","Census Tract 4328, Alameda County, California","3979","304"
"1400000US06001433000","Census Tract 4330, Alameda County, California","3654","606"
"1400000US06001433102","Census Tract 4331.02, Alameda County, California","4485","362"
"1400000US06001433103","Census Tract 4331.03, Alameda County, California","3523","397"
"1400000US06001433104","Census Tract 4331.04, Alameda County, California","3724","334"
"1400000US06001433200","Census Tract 4332, Alameda County, California","7991","655"
"1400000US06001433300","Census Tract 4333, Alameda County, California","7761","449"
"1400000US06001433400","Census Tract 4334, Alameda County, California","5934","398"
"1400000US06001433500","Census Tract 4335, Alameda County, California","4830","359"
"1400000US06001433600","Census Tract 4336, Alameda County, California","6094","521"
"1400000US06001433700","Census Tract 4337, Alameda County, California","3503","365"
"1400000US06001433800","Census Tract 4338, Alameda County, California","8179","517"
"1400000US06001433900","Census Tract 4339, Alameda County, California","7685","695"
"1400000US06001434000","Census Tract 4340, Alameda County, California","5334","468"
"1400000US06001435102","Census Tract 4351.02, Alameda County, California","6189","440"
"1400000US06001435103","Census Tract 4351.03, Alameda County, California","7420","352"
"1400000US06001435104","Census Tract 4351.04, Alameda County, California","6117","516"
"1400000US06001435200","Census Tract 4352, Alameda County, California","4659","425"
"1400000US06001435300","Census Tract 4353, Alameda County, California","4739","290"
"1400000US06001435400","Census Tract 4354, Alameda County, California","4538","494"
"1400000US06001435500","Census Tract 4355, Alameda County, California","3983","455"
"1400000US06001435601","Census Tract 4356.01, Alameda County, California","5662","503"
"1400000US06001435602","Census Tract 4356.02, Alameda County, California","5453","435"
"1400000US06001435700","Census Tract 4357, Alameda County, California","5231","517"
"1400000US06001435800","Census Tract 4358, Alameda County, California","5543","379"
"1400000US06001435900","Census Tract 4359, Alameda County, California","5371","321"
"1400000US06001436000","Census Tract 4360, Alameda County, California","5063","352"
"1400000US06001436100","Census Tract 4361, Alameda County, California","5977","349"
"1400000US06001436200","Census Tract 4362, Alameda County, California","4266","379"
"1400000US06001436300","Census Tract 4363, Alameda County, California","9444","671"
"1400000US06001436401","Census Tract 4364.01, Alameda County, California","7173","412"
"1400000US06001436402","Census Tract 4364.02, Alameda County, California","2704","139"
"1400000US06001436500","Census Tract 4365, Alameda County, California","5375","343"
"1400000US06001436601","Census Tract 4366.01, Alameda County, California","6938","568"
"1400000US06001436602","Census Tract 4366.02, Alameda County, California","5113","460"
"1400000US06001436700","Census Tract 4367, Alameda County, California","3265","310"
"1400000US06001436800","Census Tract 4368, Alameda County, California","4382","343"
"1400000US06001436900","Census Tract 4369, Alameda County, California","6745","510"
"1400000US06001437000","Census Tract 4370, Alameda County, California","3493","299"
"1400000US06001437101","Census Tract 4371.01, Alameda County, California","7867","545"
"1400000US06001437102","Census Tract 4371.02, Alameda County, California","4521","331"
"1400000US06001437200","Census Tract 4372, Alameda County, California","7489","669"
"1400000US06001437300","Census Tract 4373, Alameda County, California","3277","203"
"1400000US06001437400","Census Tract 4374, Alameda County, California","3485","257"
"1400000US06001437500","Census Tract 4375, Alameda County, California","4531","314"
"1400000US06001437600","Census Tract 4376, Alameda County, California","3536","234"
"1400000US06001437701","Census Tract 4377.01, Alameda County, California","3773","393"
"1400000US06001437702","Census Tract 4377.02, Alameda County, California","4295","378"
"1400000US06001437800","Census Tract 4378, Alameda County, California","4997","333"
"1400000US06001437900","Census Tract 4379, Alameda County, California","2321","231"
"1400000US06001438000","Census Tract 4380, Alameda County, California","3952","525"
"1400000US06001438100","Census Tract 4381, Alameda County, California","8307","564"
"1400000US06001438201","Census Tract 4382.01, Alameda County, California","5144","442"
"1400000US06001438203","Census Tract 4382.03, Alameda County, California","3888","398"
"1400000US06001438204","Census Tract 4382.04, Alameda County, California","5838","321"
"1400000US06001438300","Census Tract 4383, Alameda County, California","3767","333"
"1400000US06001438400","Census Tract 4384, Alameda County, California","2757","218"
"1400000US06001440100","Census Tract 4401, Alameda County, California","2799","257"
"1400000US06001440200","Census Tract 4402, Alameda County, California","6125","479"
"1400000US06001440301","Census Tract 4403.01, Alameda County, California","7596","482"
"1400000US06001440304","Census Tract 4403.04, Alameda County, California","5035","336"
"1400000US06001440305","Census Tract 4403.05, Alameda County, California","4190","231"
"1400000US06001440306","Census Tract 4403.06, Alameda County, California","4322","364"
"1400000US06001440307","Census Tract 4403.07, Alameda County, California","4748","346"
"1400000US06001440308","Census Tract 4403.08, Alameda County, California","6171","345"
"1400000US06001440331","Census Tract 4403.31, Alameda County, California","3276","278"
"1400000US06001440332","Census Tract 4403.32, Alameda County, California","3505","169"
"1400000US06001440333","Census Tract 4403.33, Alameda County, California","2982","216"
"1400000US06001440334","Census Tract 4403.34, Alameda County, California","4414","315"
"1400000US06001440335","Census Tract 4403.35, Alameda County, California","7051","529"
"1400000US06001440336","Census Tract 4403.36, Alameda County, California","4437","364"
"1400000US06001441100","Census Tract 4411, Alameda County, California","4625","340"
"1400000US06001441200","Census Tract 4412, Alameda County, California","7277","611"
"1400000US06001441301","Census Tract 4413.01, Alameda County, California","3301","217"
"1400000US06001441302","Census Tract 4413.02, Alameda County, California","5937","309"
"1400000US06001441401","Census Tract 4414.01, Alameda County, California","8082","640"
"1400000US06001441402","Census Tract 4414.02, Alameda County, California","5407","311"
"1400000US06001441501","Census Tract 4415.01, Alameda County, California","6546","389"
"1400000US06001441503","Census Tract 4415.03, Alameda County, California","8013","417"
"1400000US06001441521","Census Tract 4415.21, Alameda County, California","6175","306"
"1400000US06001441522","Census Tract 4415.22, Alameda County, California","5233","311"
"1400000US06001441523","Census Tract 4415.23, Alameda County, California","4418","265"
"1400000US06001441524","Census Tract 4415.24, Alameda County, California","4215","302"
"1400000US06001441601","Census Tract 4416.01, Alameda County, California","4982","316"
"1400000US06001441602","Census Tract 4416.02, Alameda County, California","8113","416"
"1400000US06001441700","Census Tract 4417, Alameda County, California","8527","778"
"1400000US06001441800","Census Tract 4418, Alameda County, California","7543","494"
"1400000US06001441921","Census Tract 4419.21, Alameda County, California","3909","317"
"1400000US06001441923","Census Tract 4419.23, Alameda County, California","6250","505"
"1400000US06001441924","Census Tract 4419.24, Alameda County, California","7481","584"
"1400000US06001441925","Census Tract 4419.25, Alameda County, California","7291","414"
"1400000US06001441926","Census Tract 4419.26, Alameda County, California","4595","303"
"1400000US06001441927","Census Tract 4419.27, Alameda County, California","4492","319"
"1400000US06001442000","Census Tract 4420, Alameda County, California","3419","206"
"1400000US06001442100","Census Tract 4421, Alameda County, California","5462","331"
"1400000US06001442200","Census Tract 4422, Alameda County, California","7473","341"
"1400000US06001442301","Census Tract 4423.01, Alameda County, California","5496","299"
"1400000US06001442302","Census Tract 4423.02, Alameda County, California","6366","474"
"1400000US06001442400","Census Tract 4424, Alameda County, California","6822","428"
"1400000US06001442500","Census Tract 4425, Alameda County, California","7374","606"
"1400000US06001442601","Census Tract 4426.01, Alameda County, California","4160","327"
"1400000US06001442602","Census Tract 4426.02, Alameda County, California","5059","447"
"1400000US06001442700","Census Tract 4427, Alameda County, California","3048","208"
"1400000US06001442800","Census Tract 4428, Alameda County, California","2952","201"
"1400000US06001442900","Census Tract 4429, Alameda County, California","7761","697"
"1400000US06001443001","Census Tract 4430.01, Alameda County, California","2891","158"
"1400000US06001443002","Census Tract 4430.02, Alameda County, California","6930","388"
"1400000US06001443102","Census Tract 4431.02, Alameda County, California","5065","235"
"1400000US06001443103","Census Tract 4431.03, Alameda County, California","4107","278"
"1400000US06001443104","Census Tract 4431.04, Alameda County, California","5620","294"
"1400000US06001443105","Census Tract 4431.05, Alameda County, California","4785","251"
"1400000US06001443200","Census Tract 4432, Alameda County, California","4053","266"
"1400000US06001443301","Census Tract 4433.01, Alameda County, California","4355","244"
"1400000US06001443321","Census Tract 4433.21, Alameda County, California","3368","288"
"1400000US06001443322","Census Tract 4433.22, Alameda County, California","3308","171"
"1400000US06001444100","Census Tract 4441, Alameda County, California","7556","552"
"1400000US06001444200","Census Tract 4442, Alameda County, California","7112","561"
"1400000US06001444301","Census Tract 4443.01, Alameda County, California","3973","312"
"1400000US06001444302","Census Tract 4443.02, Alameda County, California","5185","369"
"1400000US06001444400","Census Tract 4444, Alameda County, California","5477","368"
"1400000US06001444500","Census Tract 4445, Alameda County, California","7518","470"
"1400000US06001444601","Census Tract 4446.01, Alameda County, California","5787","367"
"1400000US06001444602","Census Tract 4446.02, Alameda County, California","4563","284"
"1400000US06001450101","Census Tract 4501.01, Alameda County, California","5750","413"
"1400000US06001450102","Census Tract 4501.02, Alameda County, California","5664","379"
"1400000US06001450200","Census Tract 4502, Alameda County, California","5244","386"
"1400000US06001450300","Census Tract 4503, Alameda County, California","5212","330"
"1400000US06001450400","Census Tract 4504, Alameda County, California","7286","478"
"1400000US06001450501","Census Tract 4505.01, Alameda County, California","3156","213"
"1400000US06001450502","Census Tract 4505.02, Alameda County, California","5490","400"
"1400000US06001450601","Census Tract 4506.01, Alameda County, California","3641","216"
"1400000US06001450602","Census Tract 4506.02, Alameda County, California","10265","522"
"1400000US06001450603","Census Tract 4506.03, Alameda County, California","5155","277"
"1400000US06001450604","Census Tract 4506.04, Alameda County, California","5505","261"
"1400000US06001450605","Census Tract 4506.05, Alameda County, California","3893","198"
"1400000US06001450606","Census Tract 4506.06, Alameda County, California","6254","286"
