objectid,ID,ST_NAME,SPAN_OPS,HRS_BEGIN,HRS_END,REDLANE,TAXI,HOURS,STATUS,DAYTYPE_WD,DAYTYPE_WE,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,FROM_ST,TO_ST,CORRIDOR,DIRECTION,LAYOUT,DAY_TYPE,IMPLEMENT,MUNI_ROUTE,BUSORTRAIN,MTAB_DATE,MTAB_MOTION,shape,data_as_of,data_loaded_at,analysis_neighborhood,supervisor_district
707,0,4th Street,24 Hours,0,2400,Non-red,taxi allowed,24 hours everyday,Future TETL corridor,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T13:17:14.000000000-07:00,Market St,Howard St,,,,All Days,2019-02-20T16:00:00.000000000-08:00,,,,,"LINESTRING (-122.404247433 37.784471809, -122.404256654 37.784479097, -122.405226387 37.785294332, -122.405725515 37.785688797, -122.40582534 37.785733878)",03/25/2021 01:17:14 PM,01/18/2024 03:36:28 PM,"Financial District/South Beach, South of Market",6
719,0,3rd Street,24 Hours,0,2400,red lane,taxi allowed,24 hours everyday,Existing permanent transit lanes,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T10:53:08.000000000-07:00,Townsend St,Market,,Both,,All Days,1999-07-11T17:00:00.000000000-07:00,,,,,"LINESTRING (-122.403429109 37.787646919, -122.403430809 37.787641797, -122.403342649 37.787274576, -122.403028202 37.787024367, -122.402575236 37.786678156, -122.402025429 37.7862481, -122.401489844 37.785829162, -122.401198738 37.785601452, -122.40046685 37.785029475, -122.400274329 37.784874506, -122.39908712 37.783910868, -122.398149473 37.783161364, -122.396901654 37.782161074, -122.396245658 37.781639791, -122.395689488 37.781197401, -122.394801755 37.780492954, -122.394020976 37.779864582, -122.392776723 37.778869884)",03/25/2021 10:53:08 AM,01/18/2024 03:36:28 PM,"Financial District/South Beach, South of Market",6
1287,,TETL,,,,,,,Implemented TETL Corridor,,,EKNOPF,2021-03-25T13:14:04.000000000-07:00,EKNOPF,2021-03-25T13:14:04.000000000-07:00,,,TETL,,,,,,,,,"LINESTRING (-122.403183778 37.77303002, -122.401669884 37.771822123)",03/25/2021 01:14:04 PM,01/18/2024 03:36:28 PM,South of Market,6
688,,Taraval St,24 Hours,0,2400,Non-red,taxi allowed,24 hours everyday,Existing permanent transit lanes,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T10:53:08.000000000-07:00,15th Ave,17th Ave,,Westbound,,All Days,2017-02-28T16:00:00.000000000-08:00,,,,16-132,"LINESTRING (-122.473580469 37.743176795, -122.471361099 37.743282161)",03/25/2021 10:53:08 AM,01/18/2024 03:36:28 PM,West of Twin Peaks,7
1601,,,,,,,,,Existing permanent transit lanes,,,EKNOPF,2021-03-25T13:31:59.000000000-07:00,EKNOPF,2021-03-25T13:33:42.000000000-07:00,,,,,,,,,,,,"LINESTRING (-122.387214766 37.746585799, -122.387143383 37.745015355, -122.389320589 37.73859081, -122.391819023 37.731666579, -122.395031296 37.723742974, -122.396637432 37.720114296, -122.398112698 37.71802037, -122.399016893 37.715402963, -122.400159034 37.713499394, -122.402015014 37.712262074, -122.403680637 37.711357879, -122.405489027 37.708026634)",03/25/2021 01:33:42 PM,01/18/2024 03:36:28 PM,"Bayview Hunters Point, Visitacion Valley",10
653,,Bush St,Part Time,600,1000,Non-red,taxi allowed,6AM - 10AM M-F,Existing permanent transit lanes,weekdays,,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T10:53:08.000000000-07:00,Sansome,151 ft E Sansome,,Eastbound,,Weekdays,2014-12-31T16:00:00.000000000-08:00,,,2015-04-06T17:00:00.000000000-07:00,,"LINESTRING (-122.400744597 37.791183609, -122.400246039 37.791240726)",03/25/2021 10:53:08 AM,01/18/2024 03:36:28 PM,Financial District/South Beach,3
700,0,Sutter St.,24 Hours,0,2400,Non-red,taxi allowed,24 hours everyday,Existing permanent transit lanes,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T10:53:08.000000000-07:00,Gough St,Kearny St,,Both,,All Days,,,,,,"LINESTRING (-122.403844616 37.789826472, -122.406939206 37.789443299, -122.418433398 37.788000746, -122.42175616 37.787542428, -122.42503614 37.787124494)",03/25/2021 10:53:08 AM,01/18/2024 03:36:28 PM,"Financial District/South Beach, Nob Hill, Western Addition","2, 3"
708,,Geary Blvd,24 Hours,0,2400,Non-red,taxi allowed,24 hours everyday,Existing permanent transit lanes,,,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T10:53:08.000000000-07:00,Fillmore,Gough,,Both,,All Days,2018-09-30T17:00:00.000000000-07:00,,,,180821-118,"LINESTRING (-122.424649098 37.78535536, -122.42799599 37.784959437, -122.431213542 37.784576442, -122.432925636 37.784357395)",03/25/2021 10:53:08 AM,01/18/2024 03:36:28 PM,"Japantown, Western Addition","2, 5"
649,0,O'Farrell St.,24 Hours,0,2400,red lane,taxi allowed,24 hours everyday,Existing permanent transit lanes,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T10:53:08.000000000-07:00,Franklin,Powell,,Both,,All Days,2003-12-31T16:00:00.000000000-08:00,,,,,"LINESTRING (-122.408020733 37.786418087, -122.409977704 37.786182111, -122.412195256 37.785905987, -122.418170525 37.785139597, -122.421200941 37.784750764, -122.42281954 37.784547893)",03/25/2021 10:53:08 AM,01/18/2024 03:36:28 PM,"Financial District/South Beach, Tenderloin, Western Addition","2, 3, 5"
729,,TETL,,,,,,,Future TETL corridor,,,AZHANG,2020-06-15T17:33:57.000000000-07:00,EKNOPF,2021-03-25T15:18:23.000000000-07:00,,,TETL,,,,,,,,,"LINESTRING (-122.446987379 37.788191456, -122.446228576 37.784443387)",03/25/2021 03:18:23 PM,01/18/2024 03:36:28 PM,Presidio Heights,2
701,0,O'Farrell St.,24 Hours,0,2400,Non-red,taxi allowed,24 hours everyday,Existing permanent transit lanes,weekday,weekend,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T11:49:52.000000000-07:00,Stockton,Grant,,Both,,All Days,2017-12-31T16:00:00.000000000-08:00,,,,180821-118,"LINESTRING (-122.404587127 37.786734355, -122.404801038 37.786835788, -122.406397075 37.786609038)",03/25/2021 11:49:52 AM,01/18/2024 03:36:28 PM,Financial District/South Beach,"3, 6"
722,,Powell Street,24 Hours,0,2400,Non-red,taxi allowed,24 hours everyday,Existing permanent transit lanes,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T11:49:52.000000000-07:00,Geary Blvd,O'Farrell St,,,,All Days,,,,,,"LINESTRING (-122.408222903 37.787357572, -122.408020733 37.786418087)",03/25/2021 11:49:52 AM,01/18/2024 03:36:28 PM,Financial District/South Beach,3
661,,Bush St,Part Time,1500,1900,Non-red,taxi allowed,3PM-7PM M-F,Future TETL corridor,weekdays,,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T11:48:01.000000000-07:00,Sansome,151 ft E Sansome,,Eastbound,,Weekdays,2014-12-31T16:00:00.000000000-08:00,,,2015-04-06T17:00:00.000000000-07:00,,"LINESTRING (-122.400744597 37.791183609, -122.400246039 37.791240726)",03/25/2021 11:48:01 AM,01/18/2024 03:36:28 PM,Financial District/South Beach,3
