objectid,ID,ST_NAME,SPAN_OPS,HRS_BEGIN,HRS_END,REDLANE,TAXI,HOURS,STATUS,DAYTYPE_WD,DAYTYPE_WE,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,FROM_ST,TO_ST,CORRIDOR,DIRECTION,LAYOUT,DAY_TYPE,IMPLEMENT,MUNI_ROUTE,BUSORTRAIN,MTAB_DATE,MTAB_MOTION,shape,data_as_of,data_loaded_at,analysis_neighborhood,supervisor_district
734,,TETL,,,,,,,Future TETL corridor,,,AZHANG,2020-06-15T17:34:23.000000000-07:00,EKNOPF,2021-03-25T11:48:51.000000000-07:00,,,TETL,,,,,,,,,"LINESTRING (-122.481554222 37.765264574, -122.478329237 37.765399651, -122.477321608 37.765452978, -122.466455703 37.765929655, -122.458960102 37.766260598)",03/25/2021 11:48:51 AM,01/18/2024 03:36:28 PM,"Golden Gate Park, Inner Sunset, Sunset/Parkside","4, 7"
723,0,Judah Ave,24 Hours,0,2400,Non-red,no,24 hours everyday,Existing permanent transit lanes,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T10:53:08.000000000-07:00,19th Ave,10th Ave,,Both,,All Days,,,,,,"LINESTRING (-122.467247833 37.762134098, -122.472675239 37.761888351, -122.47700101 37.76170045, -122.47706471 37.761697642)",03/25/2021 10:53:08 AM,01/18/2024 03:36:28 PM,"Inner Sunset, Sunset/Parkside","4, 7"
698,0,Haight Street,24 Hours,0,2400,red lane,no,24 hours everyday,Existing permanent transit lanes,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T10:53:08.000000000-07:00,Buchanan St,Market St`,,Eastbound,,All Days,2010-12-31T16:00:00.000000000-08:00,,Bus,,,"LINESTRING (-122.427157943 37.772527583, -122.423778832 37.772950774, -122.422106103 37.773166595, -122.42193923 37.773036266)",03/25/2021 10:53:08 AM,01/18/2024 03:36:28 PM,"Hayes Valley, Mission","5, 6, 8"
713,0,Mission St,Part Time,700,1800,Non-red,taxi allowed,7AM-6PM M-F,Implemented TETL Corridor,weekdays,weekday only,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T11:23:55.000000000-07:00,5th St,4th St,,Eastbound,,Weekdays,1976-12-31T16:00:00.000000000-08:00,,,,,"LINESTRING (-122.404247514 37.784471707, -122.406479812 37.782732768)",03/25/2021 11:23:55 AM,01/18/2024 03:36:28 PM,"Financial District/South Beach, South of Market",6
971,,TETL,,,,,,,Future TETL corridor,,,AZHANG,2020-06-15T17:34:23.000000000-07:00,EKNOPF,2021-03-25T11:48:51.000000000-07:00,,,TETL,,,,,,,,,"LINESTRING (-122.458741727 37.746760421, -122.457953 37.746824, -122.455479942 37.746332972, -122.454677306 37.74611116, -122.453929638 37.745704913, -122.453384841 37.745614107, -122.452896135 37.745694145, -122.45224 37.745697, -122.45193984 37.745574296, -122.451637195 37.745539229, -122.450605 37.744096, -122.449802 37.743262)",03/25/2021 11:48:51 AM,01/18/2024 03:36:28 PM,"Glen Park, Twin Peaks, West of Twin Peaks","7, 8"
972,,TETL,,,,,,,Future TETL corridor,,,AZHANG,2020-06-15T17:34:23.000000000-07:00,EKNOPF,2021-03-25T15:21:33.000000000-07:00,,,TETL,,,,,,,,,"LINESTRING (-122.471810645 37.731037343, -122.469355123 37.729981864, -122.468624192 37.72960355, -122.468220817 37.729226271, -122.467752551 37.728334055, -122.467343887 37.727777027, -122.466694594 37.727242755, -122.466086407 37.726789992, -122.465325827 37.726410265, -122.464585786 37.726136777, -122.463857101 37.725867481, -122.462828682 37.725487401, -122.461223755 37.72495469, -122.46024767 37.724753837, -122.458204598 37.724322526, -122.456163671 37.723891625, -122.452344766 37.723085233, -122.451898918 37.722752219)",03/25/2021 03:21:33 PM,01/18/2024 03:36:28 PM,"Oceanview/Merced/Ingleside, West of Twin Peaks","7, 11"
970,,TETL,,,,,,,Future TETL corridor,,,AZHANG,2020-06-15T17:34:23.000000000-07:00,EKNOPF,2021-03-25T11:48:51.000000000-07:00,,,TETL,,,,,,,,,"LINESTRING (-122.461536813 37.751508552, -122.461052991 37.750963, -122.460564773 37.749943946, -122.460123748 37.749479851, -122.459213 37.748509, -122.458882 37.748148, -122.458708 37.747847, -122.458648378 37.747773998, -122.458862 37.747521, -122.459187585 37.747291311)",03/25/2021 11:48:51 AM,01/18/2024 03:36:28 PM,"Twin Peaks, West of Twin Peaks",7
695,,West Portal Ave,24 Hours,0,2400,Non-red,no,24 hours everyday,Existing permanent transit lanes,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T10:53:08.000000000-07:00,Sloat Blvd,15th Ave,,Both,,All Days,,,Train,,,"LINESTRING (-122.470581833 37.736594014, -122.47155833 37.734738048)",03/25/2021 10:53:08 AM,01/18/2024 03:36:28 PM,West of Twin Peaks,7
674,,Powell Street,24 Hours,0,2400,red lane,taxi allowed,24 hours everyday,Existing permanent transit lanes,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T11:49:52.000000000-07:00,O'Farrell St,Ellis St,,Southbound,,All Days,,,,,,"LINESTRING (-122.408020733 37.786418087, -122.407839647 37.785454929)",03/25/2021 11:49:52 AM,01/18/2024 03:36:28 PM,Financial District/South Beach,3
974,,TETL,,,,,,,Future TETL corridor,,,AZHANG,2020-06-15T17:34:23.000000000-07:00,EKNOPF,2021-03-25T11:48:51.000000000-07:00,,,TETL,,,,,,,,,"LINESTRING (-122.45429433 37.708260948, -122.452677927 37.708811326, -122.449321871 37.709951192, -122.448390165 37.710377697, -122.445541 37.711891, -122.441908728 37.715313245, -122.441567488 37.715758434, -122.44043094 37.717249609, -122.435990091 37.723134954, -122.432924997 37.727182542, -122.424715764 37.735374863, -122.424053352 37.73741124, -122.423961987 37.738848278, -122.423593443 37.739888698, -122.422853781 37.741032401, -122.422096988 37.742202547)",03/25/2021 11:48:51 AM,01/18/2024 03:36:28 PM,"Bernal Heights, Excelsior, Outer Mission","8, 9, 11"
717,0,Geneva Ave,24 Hours,0,2400,red lane,taxi allowed,24 hours everyday,Future TETL corridor,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T11:48:01.000000000-07:00,Delano Ave,280 Freeway Overpass,,Westbound,,All Days,,,,,15-097,"LINESTRING (-122.445128763 37.720088207, -122.445270281 37.72018814, -122.446613163 37.72072405, -122.447738415 37.721154844)",03/25/2021 11:48:01 AM,01/18/2024 03:36:28 PM,Outer Mission,11
962,,TETL,,,,,,,Future TETL corridor,,,AZHANG,2020-06-15T17:34:23.000000000-07:00,EKNOPF,2021-03-25T11:48:51.000000000-07:00,,,TETL,,,,,,,,,"LINESTRING (-122.441167805 37.791635838, -122.439493592 37.783313483, -122.439310835 37.782455477, -122.437436149 37.773138488, -122.436862151 37.770347891, -122.436217388 37.76975578, -122.435807422 37.769063449)",03/25/2021 11:48:51 AM,01/18/2024 03:36:28 PM,"Haight Ashbury, Hayes Valley, Japantown, Pacific Heights, Western Addition","2, 5, 8"
728,0,Post St,24 Hours,0,2400,Non-red,taxi allowed,24 hours everyday,Existing permanent transit lanes,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T10:53:08.000000000-07:00,Gough St,Grant Ave,,Both,,All Days,1973-12-31T16:00:00.000000000-08:00,,,,,"LINESTRING (-122.424856594 37.786187139, -122.424858432 37.786196376, -122.42321388 37.786402268, -122.421570124 37.786618909, -122.419927956 37.786827474, -122.418270989 37.787037896, -122.416989841 37.787200574, -122.416808619 37.787223584, -122.414719414 37.787489458, -122.411239783 37.787923358, -122.40935736 37.788171299, -122.407546241 37.788407969, -122.405207471 37.788689718)",03/25/2021 10:53:08 AM,01/18/2024 03:36:28 PM,"Financial District/South Beach, Japantown, Nob Hill, Tenderloin, Western Addition","2, 3, 5"
969,,TETL,,,,,,,Existing permanent transit lanes,,,AZHANG,2020-06-15T17:34:23.000000000-07:00,EKNOPF,2021-03-25T10:53:08.000000000-07:00,,,TETL,,,,,,,,,"LINESTRING (-122.397425469 37.792451219, -122.392736038 37.788691661)",03/25/2021 10:53:08 AM,01/18/2024 03:36:28 PM,Financial District/South Beach,"3, 6"
693,0,Sansome Local Access,Part Time,700,2000,Non-red,taxi allowed,7AM to 8PM M-Su,Existing permanent transit lanes,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T10:53:08.000000000-07:00,Washington St,Bush St,,Southbound,,All Days,1996-12-31T16:00:00.000000000-08:00,,,,,"LINESTRING (-122.401671875 37.795709233, -122.400744597 37.791183609)",03/25/2021 10:53:08 AM,01/18/2024 03:36:28 PM,"Chinatown, Financial District/South Beach",3
664,,Sansome,Part Time,600,2000,Non-red,no,6AM-8PM M-Su,Existing permanent transit lanes,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T10:53:08.000000000-07:00,Broadway,Washington,,Southbound,,All Days,2015-12-31T16:00:00.000000000-08:00,,,2014-09-01T17:00:00.000000000-07:00,14-137,"LINESTRING (-122.401671875 37.795709233, -122.402212843 37.798429395)",03/25/2021 10:53:08 AM,01/18/2024 03:36:28 PM,"Chinatown, Financial District/South Beach",3
705,0,Sutter St.,Part Time,1500,1800,Non-red,taxi allowed,3PM-6PM M-F,Existing permanent transit lanes,weekdays,,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T10:53:08.000000000-07:00,Kearny St,Sansome St,,Both,,Weekdays,,,,,,"LINESTRING (-122.400557656 37.790250128, -122.403842787 37.789828138)",03/25/2021 10:53:08 AM,01/18/2024 03:36:28 PM,Financial District/South Beach,3
727,0,Sacramento St,Part Time,700,900,Non-red,taxi allowed,7AM-9AM M-F,Future TETL corridor,weekdays,,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T11:48:01.000000000-07:00,Kearny,Grant,,Westbound,,Weekdays,2015-12-31T16:00:00.000000000-08:00,,,2016-04-04T17:00:00.000000000-07:00,16-036,"LINESTRING (-122.404651689 37.793593401, -122.406134628 37.793397124)",03/25/2021 11:48:01 AM,01/18/2024 03:36:28 PM,Chinatown,3
721,0,Bush St,24 Hours,0,2400,Non-red,taxi allowed,24 hours everyday,Existing permanent transit lanes,weekdays,weekday only,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T10:53:08.000000000-07:00,Sansome 151 ft E,Battery St,,Eastbound,,All Days,1997-12-31T16:00:00.000000000-08:00,,,,482-98,"LINESTRING (-122.399580397 37.791324968, -122.400246039 37.791240726)",03/25/2021 10:53:08 AM,01/18/2024 03:36:28 PM,Financial District/South Beach,3
660,,Pine,Part Time,1500,1900,Non-red,no,3PM-7PM M-F,Existing permanent transit lanes,weekdays,,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T10:53:08.000000000-07:00,Market,Montgomery,,Westbound,,Weekdays,2014-12-31T16:00:00.000000000-08:00,,,,,"LINESTRING (-122.402580521 37.791895601, -122.397497502 37.792537068, -122.397425469 37.792451219)",03/25/2021 10:53:08 AM,01/18/2024 03:36:28 PM,Financial District/South Beach,3
694,0,Judah Ave,24 Hours,0,2400,Non-red,taxi allowed,24 hours everyday,Existing permanent transit lanes,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T10:53:08.000000000-07:00,20th Ave,La Playa,,Both,,All Days,,,,,,"LINESTRING (-122.478015506 37.76165575, -122.484502182 37.761369743, -122.493087175 37.760978906, -122.495749187 37.76087368, -122.509116295 37.760287421)",03/25/2021 10:53:08 AM,01/18/2024 03:36:28 PM,Sunset/Parkside,4
1286,,TETL,,,,,,,Implemented TETL Corridor,,,EKNOPF,2021-03-25T13:13:36.000000000-07:00,EKNOPF,2021-03-25T13:13:36.000000000-07:00,,,TETL,,,,,,,,,"LINESTRING (-122.409394266 37.777985208, -122.406309516 37.775523965)",03/25/2021 01:13:36 PM,01/18/2024 03:36:28 PM,South of Market,6
643,,West Portal Ave,Part Time,600,1000,Non-red,taxi allowed,6AM-10AM M-F,Existing permanent transit lanes,,,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T10:53:08.000000000-07:00,Vicente ST,Ulloa St,,Northbound,,Weekdays,2019-04-30T17:00:00.000000000-07:00,,,,190521-055,"LINESTRING (-122.466991014 37.7397235, -122.465829024 37.740891975)",03/25/2021 10:53:08 AM,01/18/2024 03:36:28 PM,West of Twin Peaks,7
681,,Potrero Ave,24 Hours,0,2400,red lane,taxi allowed,24 hours everyday,Future TETL corridor,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T11:48:01.000000000-07:00,25th St,18th St,,Southbound,,All Days,2016-12-31T16:00:00.000000000-08:00,,,,14-043,"LINESTRING (-122.406181378 37.75141249, -122.406448714 37.754220228, -122.406712012 37.756178445, -122.407157538 37.762027371)",03/25/2021 11:48:01 AM,01/18/2024 03:36:28 PM,Mission,"9, 10"
973,,TETL,,,,,,,Future TETL corridor,,,AZHANG,2020-06-15T17:34:23.000000000-07:00,EKNOPF,2021-03-25T11:48:51.000000000-07:00,,,TETL,,,,,,,,,"LINESTRING (-122.441032764 37.716464536, -122.440268337 37.71604381, -122.433720021 37.713148148, -122.431940437 37.712771587, -122.4297118 37.71226939, -122.428821007 37.712130742, -122.427867852 37.711599926, -122.426970341 37.711312254, -122.42621511 37.710926025, -122.425524701 37.710794418, -122.424563588 37.710106851, -122.423984172 37.709683226, -122.423366635 37.709255941, -122.420096265 37.708316256)",03/25/2021 11:48:51 AM,01/18/2024 03:36:28 PM,"Excelsior, McLaren Park, Outer Mission, Visitacion Valley","10, 11"
668,,Taraval St,24 Hours,0,2400,Non-red,taxi allowed,24 hours everyday,Existing permanent transit lanes,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T10:53:08.000000000-07:00,46th Ave,17th Ave,,Both,,All Days,2017-02-28T16:00:00.000000000-08:00,,,,16-132,"LINESTRING (-122.473580469 37.743176795, -122.504688974 37.741747659)",03/25/2021 10:53:08 AM,01/18/2024 03:36:28 PM,"Sunset/Parkside, West of Twin Peaks","4, 7"
731,,TETL,,,,,,,Future TETL corridor,,,AZHANG,2020-06-15T17:34:23.000000000-07:00,EKNOPF,2021-03-25T11:48:51.000000000-07:00,,,TETL,,,,,,,,,"LINESTRING (-122.509907969 37.771401022, -122.484207417 37.772574054, -122.471775338 37.773143941, -122.465896376 37.773403198)",03/25/2021 11:48:51 AM,01/18/2024 03:36:28 PM,"Inner Richmond, Outer Richmond",1
730,,TETL,,,,,,,Future TETL corridor,,,AZHANG,2020-06-15T17:34:23.000000000-07:00,EKNOPF,2021-03-25T11:48:51.000000000-07:00,,,TETL,,,,,,,,,"LINESTRING (-122.470942285 37.707335888, -122.471013 37.708225, -122.471026 37.709091, -122.471057 37.710655, -122.471064 37.711935, -122.471119 37.712418, -122.471147 37.712667, -122.471215 37.713002, -122.47128 37.713315, -122.471447 37.714, -122.471596 37.714476, -122.471724 37.714884, -122.472224 37.716201, -122.472323 37.716507, -122.472432 37.716913, -122.472585 37.717178, -122.474752 37.719531, -122.474985 37.719926, -122.475238 37.720447, -122.475234 37.721062, -122.475114 37.723087, -122.475018 37.724929, -122.47498 37.725686, -122.474918 37.72692, -122.474819 37.729005, -122.47479 37.729633, -122.474822 37.730335, -122.474823 37.730334, -122.474869 37.73107, -122.474967 37.732461, -122.475115 37.73463, -122.475301 37.737459, -122.475422 37.73933, -122.475552 37.741191, -122.475657 37.743056, -122.475786 37.744923, -122.475915 37.746787, -122.476046 37.748652, -122.476176 37.750517, -122.476305 37.752383, -122.476436 37.754247, -122.476567 37.756115, -122.476697 37.757974, -122.476826 37.759839, -122.477023 37.761704, -122.477187 37.763564, -122.477321 37.765453, -122.477375 37.766067, -122.477404 37.766205, -122.477439 37.766338, -122.477475 37.766437, -122.477568 37.766638, -122.477858 37.767037, -122.477963 37.767186, -122.478068 37.767374, -122.478179 37.767628, -122.478264 37.767914, -122.478316 37.768299, -122.478346 37.768631, -122.478378 37.768915, -122.478456 37.769257, -122.478543 37.769495, -122.478654 37.769716, -122.478906 37.770175, -122.479172 37.770655, -122.479395 37.771043, -122.479517 37.771273, -122.479431 37.771667, -122.479282 37.771942, -122.479064 37.772094, -122.478783 37.772251, -122.478332 37.772338, -122.477844 37.772338, -122.477251 37.772375, -122.476647 37.772401, -122.476181 37.772426, -122.475763 37.772481, -122.475341 37.772521, -122.475078 37.772552, -122.474695 37.772553, -122.474365 37.772521, -122.473944 37.772472, -122.473463 37.772422, -122.472442 37.772338, -122.47214 37.772431, -122.471955 37.772559, -122.471866 37.772647, -122.471801 37.772766, -122.47177 37.772903, -122.471775 37.773144, -122.471918 37.775008, -122.472052 37.776873, -122.472186 37.778733, -122.472325 37.78066, -122.472464 37.782583, -122.472598 37.784454, -122.472682 37.7855, -122.472638 37.786319, -122.472557 37.786414, -122.472501 37.78678, -122.472401 37.787144, -122.472311 37.787383, -122.472179 37.787689, -122.472059 37.787931, -122.471919 37.788174, -122.471704 37.788479, -122.471423 37.788828, -122.470985 37.789413, -122.470815 37.789647, -122.470307 37.790348, -122.470041 37.790734, -122.469898 37.791003, -122.469726 37.791415, -122.469597 37.791889, -122.469553 37.792174, -122.469534 37.792534, -122.469473 37.796138, -122.469475 37.796419, -122.469469 37.79719, -122.469463 37.798061, -122.46945 37.798645, -122.469442 37.799238, -122.469416 37.799782, -122.469409 37.80045, -122.469407499 37.800632668, -122.469406 37.800815, -122.469411 37.803231, -122.469656 37.803618, -122.470068 37.803991, -122.470379 37.804146, -122.472138102 37.804516785, -122.472729 37.804738, -122.474436543 37.806322963)",03/25/2021 11:48:51 AM,01/18/2024 03:36:28 PM,"Golden Gate Park, Inner Sunset, Lakeshore, Oceanview/Merced/Ingleside, Outer Richmond, Presidio, Seacliff, Sunset/Parkside, West of Twin Peaks","1, 2, 4, 7, 11"
732,,TETL,,,,,,,Future TETL corridor,,,AZHANG,2020-06-15T17:34:23.000000000-07:00,EKNOPF,2021-03-25T11:48:51.000000000-07:00,,,TETL,,,,,,,,,"LINESTRING (-122.465918838 37.773341397, -122.458384312 37.774313889, -122.454695859 37.774760478)",03/25/2021 11:48:51 AM,01/18/2024 03:36:28 PM,"Golden Gate Park, Inner Richmond, Lone Mountain/USF",1
736,,TETL,,,,,,,Future TETL corridor,,,AZHANG,2020-06-15T17:34:23.000000000-07:00,EKNOPF,2021-03-25T11:48:51.000000000-07:00,,,TETL,,,,,,,,,"LINESTRING (-122.401573868 37.79484355, -122.425993371 37.791761919, -122.425815352 37.790879425)",03/25/2021 11:48:51 AM,01/18/2024 03:36:28 PM,"Chinatown, Nob Hill, Pacific Heights, Russian Hill","2, 3"
716,,Van Ness Ave,24 Hours,0,2400,Non-red,no,24 hours everyday,Future TETL corridor,weekday,weekend,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T11:48:51.000000000-07:00,North Point,150 ft N of Bay Street,,Southbound,,All Days,2018-12-31T16:00:00.000000000-08:00,,,,16-032,"LINESTRING (-122.425208241 37.804562941, -122.425303285 37.805086523)",03/25/2021 11:48:51 AM,01/18/2024 03:36:28 PM,"Marina, Russian Hill",2
690,0,Geary Street,24 Hours,0,2400,Non-red,taxi allowed,24 hours everyday,Existing permanent transit lanes,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T10:53:08.000000000-07:00,Gough St,Polk St,,Both,,All Days,1979-12-31T16:00:00.000000000-08:00,,,,,"LINESTRING (-122.419753707 37.785904621, -122.423374027 37.785435526, -122.42380185 37.78538387, -122.424342572 37.785388566, -122.424526773 37.785412046, -122.424705033 37.785412045, -122.424710975 37.785426134)",03/25/2021 10:53:08 AM,01/18/2024 03:36:28 PM,"Japantown, Tenderloin, Western Addition","2, 3"
645,,Clay Street,Part Time,1500,1800,Non-red,taxi allowed,3PM-6PM M-F,Future TETL corridor,,,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T11:48:01.000000000-07:00,Grant Ave,Sansome St,,Eastbound,,Weekdays,2015-12-31T16:00:00.000000000-08:00,,,,,"LINESTRING (-122.406304986 37.794263627, -122.401497508 37.79483868)",03/25/2021 11:48:01 AM,01/18/2024 03:36:28 PM,Chinatown,3
703,0,Clay Street,24 Hours,0,2400,red lane,taxi allowed,24 hours everyday,Existing permanent transit lanes,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T10:53:08.000000000-07:00,Sansome St,Davis St,,Both,,All Days,1976-12-31T16:00:00.000000000-08:00,,,,,"LINESTRING (-122.401484979 37.79483967, -122.401377756 37.79484887, -122.400459779 37.794960472, -122.400329341 37.795013098, -122.399149428 37.795163334, -122.398466417 37.795250293, -122.397979135 37.795308721)",03/25/2021 10:53:08 AM,01/18/2024 03:36:28 PM,"Chinatown, Financial District/South Beach",3
663,0,Geary Street,24 Hours,0,2400,red lane,taxi allowed,24 hours everyday,Existing permanent transit lanes,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T10:53:08.000000000-07:00,Polk St,Powell St,,Both,,All Days,2003-12-31T16:00:00.000000000-08:00,,,,767-04,"LINESTRING (-122.408222903 37.787357572, -122.408233828 37.787356173, -122.413183508 37.786741008, -122.416487256 37.786327764, -122.419753707 37.785904621)",03/25/2021 10:53:08 AM,01/18/2024 03:36:28 PM,"Financial District/South Beach, Tenderloin",3
689,0,Powell Street,24 Hours,0,2400,red lane,no,24 hours everyday,Existing permanent transit lanes,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T11:49:52.000000000-07:00,Sutter St,California St,,Both,,All Days,1957-12-31T16:00:00.000000000-08:00,"60, 61",Train,,,"LINESTRING (-122.409175075 37.792042487, -122.408978989 37.791079882, -122.408788847 37.790159527, -122.408592761 37.78923916)",03/25/2021 11:49:52 AM,01/18/2024 03:36:28 PM,"Financial District/South Beach, Nob Hill",3
1292,,,,,,,,,Existing permanent transit lanes,,,EKNOPF,2021-03-25T13:27:32.000000000-07:00,EKNOPF,2021-03-25T13:33:30.000000000-07:00,,,,,,,,,,,,"LINESTRING (-122.412520915 37.808633307, -122.409086245 37.808107137)",03/25/2021 01:33:30 PM,01/18/2024 03:36:28 PM,North Beach,3
725,,California,24 Hours,0,2400,red lane,no,24 hours everyday,Existing permanent transit lanes,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T11:49:52.000000000-07:00,Powell St,Stockton St,,Both,,All Days,,,,,170718-088,"LINESTRING (-122.409171361 37.792042514, -122.40751895 37.792251164)",03/25/2021 11:49:52 AM,01/18/2024 03:36:28 PM,"Chinatown, Financial District/South Beach, Nob Hill",3
1282,,TETL,,,,,,,Future TETL corridor,,,EKNOPF,2021-03-25T13:07:49.000000000-07:00,EKNOPF,2021-03-25T13:10:11.000000000-07:00,,,TETL,,,,,,,,,"LINESTRING (-122.418975249 37.782980326, -122.415895745 37.783520638, -122.4149831 37.778866914, -122.414811402 37.778730712)",03/25/2021 01:10:11 PM,01/18/2024 03:36:28 PM,Tenderloin,"5, 6"
963,,TETL,,,,,,,Future TETL corridor,,,AZHANG,2020-06-15T17:34:23.000000000-07:00,EKNOPF,2021-03-25T11:48:51.000000000-07:00,,,TETL,,,,,,,,,"LINESTRING (-122.428815309 37.772320842, -122.427171653 37.772529913)",03/25/2021 11:48:51 AM,01/18/2024 03:36:28 PM,Hayes Valley,5
675,,McAllister Street,24 Hours,0,2400,Non-red,taxi allowed,24 hours everyday,Existing permanent transit lanes,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T11:49:52.000000000-07:00,Hyde,Charles J Brenham,,Eastbound,,All Days,2009-12-31T16:00:00.000000000-08:00,,,2010-05-31T17:00:00.000000000-07:00,10-071,"LINESTRING (-122.41315133 37.780994762, -122.415325197 37.780721287)",03/25/2021 11:49:52 AM,01/18/2024 03:36:28 PM,Tenderloin,5
669,0,Mission St,Part Time,1600,1800,Non-red,taxi allowed,4PM-6PM M-F,Implemented TETL Corridor,weekdays,,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T13:04:45.000000000-07:00,11th St,5th St,,Both,,Weekdays,1975-12-31T16:00:00.000000000-08:00,,,,,"LINESTRING (-122.406479812 37.782732768, -122.409187808 37.780638312, -122.417107288 37.774328131)",03/25/2021 01:04:45 PM,01/18/2024 03:36:28 PM,South of Market,6
704,,16th St,24 Hours,0,2400,Non-red,taxi allowed,24 hours everyday,Existing permanent transit lanes,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T10:53:08.000000000-07:00,Vermont,Third St,,Both,,All Days,2017-01-31T16:00:00.000000000-08:00,,,,16-013,"LINESTRING (-122.389154891 37.766935165, -122.404625228 37.765981571)",03/25/2021 10:53:08 AM,01/18/2024 03:36:28 PM,Mission Bay,6
966,,TETL,,,,,,,Future TETL corridor,,,AZHANG,2020-06-15T17:34:23.000000000-07:00,EKNOPF,2021-03-25T13:15:41.000000000-07:00,,,TETL,,,,,,,,,"LINESTRING (-122.406309516 37.775523965, -122.403183778 37.77303002)",03/25/2021 01:15:41 PM,01/18/2024 03:36:28 PM,South of Market,6
666,,Fremont Street,24 Hours,0,2400,Non-red,taxi allowed,24 hours everyday,Existing permanent transit lanes,weekday,weekend,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T10:53:08.000000000-07:00,Harrison,Folsom,,Northbound,,All Days,2008-12-31T16:00:00.000000000-08:00,,,2009-08-03T17:00:00.000000000-07:00,09-120,"LINESTRING (-122.392040713 37.786771531, -122.393609866 37.788001735)",03/25/2021 10:53:08 AM,01/18/2024 03:36:28 PM,Financial District/South Beach,6
696,0,Church Street,24 Hours,0,2400,red lane,taxi allowed,24 hours everyday,Existing permanent transit lanes,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T13:19:43.000000000-07:00,16th St,Duboce Ave,,Both,,All Days,2011-12-31T16:00:00.000000000-08:00,,,2015-06-01T17:00:00.000000000-07:00,15-082,"LINESTRING (-122.429143666 37.769466688, -122.428972536 37.76773628, -122.428944015 37.767510817, -122.428815669 37.766124203, -122.428673061 37.764495179)",03/25/2021 01:19:43 PM,01/18/2024 03:36:28 PM,"Castro/Upper Market, Hayes Valley",8
702,0,Mission St,Part Time,700,900,Non-red,taxi allowed,7AM-9AM M-F,Implemented TETL Corridor,weekdays,,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T11:23:55.000000000-07:00,11th St,5th St,,Eastbound,,Weekdays,1975-12-31T16:00:00.000000000-08:00,,,,,"LINESTRING (-122.406479812 37.782732768, -122.409187808 37.780638312, -122.417107288 37.774328131)",03/25/2021 11:23:55 AM,01/18/2024 03:36:28 PM,South of Market,6
