objectid,CNN,STREET1,STREET2,DETECTION,STREET3,SUP_DIST,STREET4,SIG_NUM,TYPE,IC_MAKE,MODEL,CABINET_SI,SYSTEM_NUM,MASTER,BBS,VEH_ACTUAT,PED_SIGNAL,PED_ACTUAT,TBC,INTERCONNE,PREEMPT_PR,D_ATE2070,PROJECT_NE,PROJECT_OL,UPGRADED,YR_OF_CONT,LAST_UPGRA,NEW_SIGNAL,MOD_PROJEC,FULL_UPGRA,BEACON_FLA,FUNDING,RLCAM,STARTYEAR,CALTRANS_R,CALTRANS,PERCENT_C,SF,PERCENT_SF,PERCENT_PO,LAMP_ASSGN,LAMP_SORT,SORT_ME,APS,shape,data_as_of,data_loaded_at,analysis_neighborhood,supervisor_district,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
14247,34168000,04TH ST,LONG BRIDGE,,,6,,0,PENDING SIGNAL,,,,,,,,PENDING,,,,,,CT 66,,NEW PENDING,,0,PENDING,NONE,NONE,NONE,DEVELOPER; PROP K,,0,,,0,,0,0,23,,,PENDING,POINT (-122.391434335 37.773466922),04/26/2023 03:25:40 PM,04/26/2023 03:25:40 PM,Mission Bay,6,34,34,1,10,4
13550,27537000,21ST AVE,GEARY,OPTICOM,,1,,9122500,SIGNAL,MCCAIN,2070-TS2-1,MSF,15A,,,,ALL,,GPS,PROXIM,"TSP,FIRE PREEMPT",,Geary BRT Phase 2 (unfunded),MUNI MR-1139,FULL AFTER MOD FUTURE,07/04,2004,NONE,DONE,DONE,NONE,,,1959,,,0,,0,0,31,,,,POINT (-122.480450628 37.780280238),04/26/2023 03:24:48 PM,04/26/2023 03:24:48 PM,Outer Richmond,1,8,8,8,4,29
13718,22128000,SAN JOSE,SANTA ROSA,,,11,,9531500,SIGNAL,MCCAIN,2070-TS2-1,MSF,ISOLATED,,,,NONE,,GPS,,,,,CT 23,MOD DONE,07/97,0,,DONE,,,SALES TAX,,1951,,,0,,0,0,70,,,,POINT (-122.440062033 37.728922714),04/26/2023 03:24:48 PM,04/26/2023 03:24:48 PM,Outer Mission,11,94,94,9,1,28
13112,23897000,06TH ST,BRYANT,OPTICOM,,6,,9042000,SIGNAL,MCCAIN,2070-TS2-1,MSF,75,,,,ALL,,GPS,"FIBER,PROXIM","TSP,FIRE PREEMPT",,,CT 28/29,MOD AFTER FULL DONE,,1998,NONE,DONE,DONE,NONE,FEDS,YES,1955,,,0,,0,0,07,,,,POINT (-122.402524097 37.776039322),04/26/2023 03:24:48 PM,04/26/2023 03:24:48 PM,South of Market,6,32,32,1,10,34
13223,25974000,EDDY,WEBSTER,,,5,,9317000,SIGNAL,MCCAIN,2070-TS2-1,MSF,71,,,,ALL,,GPS,,,,,WEBSTER PCS,FULL DONE,11/17,2017,NONE,NONE,DONE,NONE,,,1978,,,0,,0,0,20,,,APS ENAV 2WIRE WEBSTER (8),POINT (-122.430609199 37.781645585),04/26/2023 03:24:48 PM,04/26/2023 03:24:48 PM,Western Addition,5,97,97,4,11,39
12938,22232000,FOERSTER,MONTEREY,,,7,,9353000,SIGNAL,EAGLE,2070-TS2-TYPE-1,G,32,MASTER,,,ALL,,,12C,,,,CT 32,MOD DONE,,0,,DONE,,,SALES TAX,,1950,,,0,,0,0,55,,,APS ENAV 4WIRE PCS3 (8),POINT (-122.448866265 37.731542959),04/26/2023 03:24:48 PM,04/26/2023 03:24:48 PM,West of Twin Peaks,7,95,95,9,8,41
13943,23799001,03RD ST,KING,,,6,,0,MESSAGE SIGN,,,N/A,N/A,,,,n.a.,,,,,,,,MESSAGE SIGN,,0,NONE,NONE,NONE,NONE,,,0,,,0,,0,0,n.a.,,,,POINT (-122.392013643 37.778099304),04/26/2023 03:25:40 PM,04/26/2023 03:25:40 PM,Mission Bay,6,34,34,1,10,4
12896,21703000,MISSION,TRUMBULL,OPTICOM,,11,,9492000,SIGNAL,MCCAIN,2070-TS2-1,MSF,67,,,,ALL,,GPS,PROXIM,"TSP,FIRE PREEMPT",,,MISSION TRUMBULL,FULL DONE,10/17,2017,NONE,NONE,DONE,NONE,,,1976,,,0,,0,0,54,,,APS 2WIRE AS-NEEDED PAVING (6),POINT (-122.429304397 37.730742173),04/26/2023 03:24:48 PM,04/26/2023 03:24:48 PM,Outer Mission,11,94,94,9,1,28
12979,23887000,05TH ST,BRANNAN,OPTICOM,,6,,9034000,SIGNAL,MCCAIN,2070-TS2-1,MSF,75,,,WIRELESS,ALL,,GPS,PROXIM,FIRE PREEMPT,,Signal Visibility Upgrades Ph 2,BRANNAN/TOWNSEND,MOD AFTER FULL FUTURE,1/01,2002,NONE,FUTURE,DONE,NONE,SALES TAX,,1957,,,0,,0,0,05,,,,POINT (-122.39875545 37.776568383),04/26/2023 03:24:48 PM,04/26/2023 03:24:48 PM,South of Market,6,32,32,1,10,34
14059,8776103,MARKET,MIDBLOCK AT,,ARGENT,8,ROMAIN,0,BEACON,,,,,,,,n.a.,,,,,,,,B&F,,0,NONE,NONE,NONE,DONE,,,0,,,0,,0,0,,,,,POINT (-122.441362215 37.755322734),04/26/2023 03:25:40 PM,04/26/2023 03:25:40 PM,Twin Peaks,8,115,115,3,5,38
