deviceSerialNumber
6361101
6361113
6361119
6361135
6361161
6361174
6361228
6361299
6361326
6361329
6361341
6361346
6361385
6361406
6361429
6361430
6361446
6361526
6361546
6361570
6361582
6361650
6361656
6361694
6365212
6365270
6365303
6365310
6365344
6365350
6365362
6365381
6365393
6365395
6365396
6365445
6365446
6365467
6365490
6365512
6365604
6365643
6365668
6365683
6365754
6365755
6365946
6365959
6365979
6365980
6366002
6366013
6366089
6366106
6366115
6366119
6366188
6366211
6366233
6366239
6366243
6366288
6366307
6366344
6366354
6366391
6366424
6366426
6366547
6366576
6366613
6366628
6366870
6366926
6366963
6366987
6367038
6367109
6367129
6367131
6367139
6367196
6367296
6367302
6367315
6367449
6367502
6367587
6367627
6367634
6367661
6367683
6367687
6367752
6367770
6367776
6367778
6367796
6367802
6367824
6367886
6367912
6367920
6367971
6368081
6368117
6368145
6368155
6368248
6368251
6368340
6368425
6368443
6368502
6368582
6368604
6368606
6368614
6368677
6368735
6368743
6368792
6368811
6368825
6368895
6368959
6368970
6368976
6369008
6369481
6369484
6369534
6369560
6369600
6369602
6369627
6369743
6369874
6369879
6370063
6370108
6370177
6370185
6370240
6370241
6370242
6370243
6492166
6492241
6492358
6492636
6492641
6492670
6492674
6496292
6496321
6496344
6496424
6496553
6496609
6496641
6496676
6496782
6496797
6497070
6497105
6497156
6497159
6497294
6497298
6497304
6497323
6497440
6497496
6497551
6497617
6497654
6497721
6497854
6497964
6497990
6498005
6498058
6498094
6498118
6498303
6498360
6498385
6498422
6498467
6498486
6498488
6498489
6498521
6498572
6498580
6498626
6498628
6498631
6498641
6498722
6498732
6498827
6498915
6499011
6499030
6499085
6499171
6499177
6499191
6499199
6499208
6499210
6499213
6499215
6499225
6499230
6499234
6499239
6499247
6499254
6499266
6499267
6499268
6499276
6499278
6499279
6499281
6499284
6499289
6499290
6499294
6499299
6499304
6499306
6499312
6499316
6499317
6499321
6499325
6499326
6499329
6499333
6499338
6499339
6499343
6499351
6499352
6499354
6499356
6499364
6499367
6499368
6499370
6499378
6499381
6499385
6499387
6499389
6499392
6499395
6499398
6499399
6499401
6499406
6499420
6499422
6499429
6499431
6499433
6499434
6499435
6499438
6499441
6499443
6758514
6758515
6758517
6758522
6758527
6758532
6758576
7536668
7536679
7536698
7536703
7536740
7536772
7536774
7536775
7536776
7536777
7536786
7536787
