,Name,calitp_itp_id,Reporting Category,Caltrans District,GTFS Static Status,rt_status,Missing Static,Services Needing Alerts,Services Needing TripUpdates or VehiclePositions,calitp_url_number,min_timestamp,max_timestamp
28,City of Turlock,349,Core,10 - Stockton,Static OK,RT OK,,Turlock Transit Dial-A-Ride,Turlock Transit Dial-A-Ride,0,2022-02-06 15:58:41,2022-02-10 15:59:45
29,Sacramento Regional Transit District,273,Core,03 - Marysville,Static OK,RT Incomplete,SacRT Neighborhood Ride,"SacRT Light Rail, e-van, SacRT GO, Elk Grove Transit Services, Folsom Stage Line, Causeway Connection, Sacramento Airport Express, SacRT Bus, SacRT Neighborhood Ride","e-van, SacRT GO, SacRT Neighborhood Ride",0,2022-02-06 15:59:00,2022-02-09 07:43:00
30,Nevada County,221,Core,03 - Marysville,Static OK,RT OK,,Nevada County Now,Nevada County Now,0,2022-02-07 05:41:19,2022-02-10 15:59:46
31,Yolo County Transportation District,372,Core,03 - Marysville,Static OK,RT Incomplete,,"Yolobus, Yolobus Special","Yolobus, Yolobus Special",0,2022-02-06 15:58:13,2022-02-10 15:59:39
32,Orange County Transportation Authority,235,Core,12 - Irvine,Static OK,RT OK,,"OC Flex, OC Access, OC Streetcar","OC Flex, OC Access, OC Streetcar",1,2022-02-06 15:51:22,2022-02-10 15:59:45
33,Victor Valley Transit Authority,360,Core,08 - San Bernardino,Static OK,RT OK,,Victor Valley ADA Direct Access,Victor Valley ADA Direct Access,0,2022-02-04 15:39:17,2022-02-10 15:59:53
34,Riverside Transit Agency,269,Core,08 - San Bernardino,Static OK,RT OK,,Riverside Transit Dial-A-Ride,Riverside Transit Dial-A-Ride,0,2022-02-06 15:59:56,2022-02-10 15:59:25
35,Banning Pass Transit,30,Other Public Transit,08 - San Bernardino,Static OK,RT OK,,Banning Connect Dial-A-Ride,Banning Connect Dial-A-Ride,0,2022-02-06 15:57:31,2022-02-10 15:59:44
36,Lake Transit Authority,159,Core,01 - Eureka,Static OK,RT OK,,"Clearlake/Lower Lake Dial-A-Ride, Lakeport Dial-A-Ride","Clearlake/Lower Lake Dial-A-Ride, Lakeport Dial-A-Ride",0,2022-02-07 05:48:11,2022-02-10 15:59:48
37,Humboldt Transit Authority,135,Core,01 - Eureka,Static OK,RT OK,,Humboldt Transit Authority Dial-A-Ride,Humboldt Transit Authority Dial-A-Ride,0,2022-02-07 05:13:25,2022-02-10 15:59:48
38,Santa Barbara Metropolitan Transit District,293,Core,05 - San Luis Obispo,Static OK,RT OK,,,,0,2022-02-06 15:50:45,2022-02-10 15:59:37
39,Monterey-Salinas Transit,208,Core,05 - San Luis Obispo,Static Incomplete,RT OK,MST Senior Shuttles,"MST Monterey Trolley, MST RIDES, MST Taxi Vouchers, MST Senior Shuttles, MST Special Medical Trips","MST Monterey Trolley, MST RIDES, MST Taxi Vouchers, MST Senior Shuttles, MST Special Medical Trips",0,2022-02-06 15:59:08,2022-02-10 15:59:50
40,Golden Empire Transit District,126,Core,06 - Fresno,Static OK,RT OK,,GET Bus On Demand,GET Bus On Demand,0,2022-02-06 15:57:52,2022-02-10 15:59:28
41,City of Visalia,361,Core,06 - Fresno,Static Incomplete,RT Incomplete,V-LINE,"V-LINE, Sequoia Shuttle, Visalia Dial-A-Ride","V-LINE, Sequoia Shuttle, Visalia Dial-A-Ride",0,2022-02-03 15:00:10,2022-02-10 15:59:47
42,Madera County,188,Other Public Transit,06 - Fresno,Static OK,RT OK,,"Eastern Madera County Medical Escort Van, Eastern Madera County Senior Bus","Eastern Madera County Medical Escort Van, Eastern Madera County Senior Bus",0,2022-02-06 15:58:32,2022-02-10 15:59:43
43,Kings County Area Public Transit Agency,148,Core,06 - Fresno,Static OK,RT OK,,"KART Paratransit, KART Flex Route","KART Paratransit, KART Flex Route",0,2022-02-07 05:03:49,2022-02-10 15:59:24
44,Tulare County Area Transit,346,Core,06 - Fresno,Static OK,RT Incomplete,,"Tulare County Area Transit, LOOP Bus, Tulare County Dial-A-Ride","Tulare County Area Transit, LOOP Bus, Tulare County Dial-A-Ride",0,2022-02-05 20:49:17,2022-02-10 15:59:51
45,North County Transit District,226,Core,11 - San Diego,Static OK,RT OK,,"NCTD FLEX, NCTD LIFT","NCTD FLEX, NCTD LIFT",0,2022-02-06 15:51:26,2022-02-10 15:59:46
46,San Diego Metropolitan Transit System,278,Core,11 - San Diego,Static OK,RT Incomplete,,SDG&E Silver Line Vintage Trolley,SDG&E Silver Line Vintage Trolley,0,2022-02-07 15:47:37,2022-02-07 16:46:22
47,Redding Area Bus Authority,259,Core,02 - Redding,Static OK,RT OK,,Redding Area Paratransit,Redding Area Paratransit,0,2022-02-07 04:30:59,2022-02-10 15:59:47
