GEOID,NAME,ttl_jobs,ttl_population
6001410400,"Census Tract 4104, Alameda County, California",NA,4477
6001410500,"Census Tract 4105, Alameda County, California",NA,2705
6001420100,"Census Tract 4201, Alameda County, California",NA,2440
6001420200,"Census Tract 4202, Alameda County, California",NA,3332
6001420300,"Census Tract 4203, Alameda County, California",NA,4977
6001420400,"Census Tract 4204, Alameda County, California",NA,3062
6001420500,"Census Tract 4205, Alameda County, California",NA,2557
6001420600,"Census Tract 4206, Alameda County, California",NA,3436
6001421100,"Census Tract 4211, Alameda County, California",NA,2084
6001421200,"Census Tract 4212, Alameda County, California",NA,3594
6001421300,"Census Tract 4213, Alameda County, California",NA,3873
6001421400,"Census Tract 4214, Alameda County, California",NA,1634
6001421500,"Census Tract 4215, Alameda County, California",NA,3694
6001421600,"Census Tract 4216, Alameda County, California",NA,3617
6001421700,"Census Tract 4217, Alameda County, California",NA,3492
6001421800,"Census Tract 4218, Alameda County, California",NA,2144
6001421900,"Census Tract 4219, Alameda County, California",NA,4171
6001422000,"Census Tract 4220, Alameda County, California",NA,2156
6001422100,"Census Tract 4221, Alameda County, California",NA,3073
6001422200,"Census Tract 4222, Alameda County, California",NA,3237
6001422300,"Census Tract 4223, Alameda County, California",NA,3643
6001422400,"Census Tract 4224, Alameda County, California",NA,4487
6001422500,"Census Tract 4225, Alameda County, California",NA,4400
6001422600,"Census Tract 4226, Alameda County, California",NA,1043
6001422700,"Census Tract 4227, Alameda County, California",NA,5266
6001422800,"Census Tract 4228, Alameda County, California",NA,9064
6001422900,"Census Tract 4229, Alameda County, California",NA,5761
6001423000,"Census Tract 4230, Alameda County, California",NA,4962
6001423100,"Census Tract 4231, Alameda County, California",NA,4413
6001423200,"Census Tract 4232, Alameda County, California",NA,2982
6001423300,"Census Tract 4233, Alameda County, California",NA,3504
6001423400,"Census Tract 4234, Alameda County, California",NA,5163
6001423500,"Census Tract 4235, Alameda County, California",NA,3426
6001423601,"Census Tract 4236.01, Alameda County, California",NA,2671
6001423602,"Census Tract 4236.02, Alameda County, California",NA,6528
6001423700,"Census Tract 4237, Alameda County, California",NA,4148
6001423800,"Census Tract 4238, Alameda County, California",NA,2986
6001423901,"Census Tract 4239.01, Alameda County, California",NA,2054
6001423902,"Census Tract 4239.02, Alameda County, California",NA,1605
6001424001,"Census Tract 4240.01, Alameda County, California",NA,4027
6001424002,"Census Tract 4240.02, Alameda County, California",NA,2583
6001425101,"Census Tract 4251.01, Alameda County, California",NA,1659
6001425102,"Census Tract 4251.02, Alameda County, California",NA,3906
6001425103,"Census Tract 4251.03, Alameda County, California",NA,2795
6001425104,"Census Tract 4251.04, Alameda County, California",NA,3539
6001426100,"Census Tract 4261, Alameda County, California",NA,6521
6001426200,"Census Tract 4262, Alameda County, California",NA,4796
6001427100,"Census Tract 4271, Alameda County, California",NA,3975
6001427200,"Census Tract 4272, Alameda County, California",NA,4180
6001427300,"Census Tract 4273, Alameda County, California",NA,5346
6001427600,"Census Tract 4276, Alameda County, California",NA,5200
6001427700,"Census Tract 4277, Alameda County, California",NA,5201
6001427800,"Census Tract 4278, Alameda County, California",NA,4954
6001427900,"Census Tract 4279, Alameda County, California",NA,5052
6001428000,"Census Tract 4280, Alameda County, California",NA,2877
6001428100,"Census Tract 4281, Alameda County, California",NA,4839
6001428200,"Census Tract 4282, Alameda County, California",NA,6606
6001428301,"Census Tract 4283.01, Alameda County, California",NA,7277
6001428302,"Census Tract 4283.02, Alameda County, California",NA,7424
6001428400,"Census Tract 4284, Alameda County, California",NA,4568
6001428500,"Census Tract 4285, Alameda County, California",NA,3097
6001428600,"Census Tract 4286, Alameda County, California",NA,3454
6001428700,"Census Tract 4287, Alameda County, California",NA,4472
6001430101,"Census Tract 4301.01, Alameda County, California",NA,6842
6001430102,"Census Tract 4301.02, Alameda County, California",NA,2424
6001430200,"Census Tract 4302, Alameda County, California",NA,6878
6001430300,"Census Tract 4303, Alameda County, California",NA,3826
6001430400,"Census Tract 4304, Alameda County, California",NA,2107
6001430500,"Census Tract 4305, Alameda County, California",NA,5987
6001430600,"Census Tract 4306, Alameda County, California",NA,6486
6001430700,"Census Tract 4307, Alameda County, California",NA,4170
6001430800,"Census Tract 4308, Alameda County, California",NA,5282
6001430900,"Census Tract 4309, Alameda County, California",NA,5309
6001431000,"Census Tract 4310, Alameda County, California",NA,2777
6001431100,"Census Tract 4311, Alameda County, California",NA,3561
6001431200,"Census Tract 4312, Alameda County, California",NA,5574
6001432100,"Census Tract 4321, Alameda County, California",NA,3574
6001432200,"Census Tract 4322, Alameda County, California",NA,4078
6001432300,"Census Tract 4323, Alameda County, California",NA,4744
6001432400,"Census Tract 4324, Alameda County, California",NA,7003
6001432501,"Census Tract 4325.01, Alameda County, California",NA,4854
6001432502,"Census Tract 4325.02, Alameda County, California",NA,5178
6001432600,"Census Tract 4326, Alameda County, California",NA,7043
6001432700,"Census Tract 4327, Alameda County, California",NA,2816
6001432800,"Census Tract 4328, Alameda County, California",NA,3979
6001433000,"Census Tract 4330, Alameda County, California",NA,3654
6001433102,"Census Tract 4331.02, Alameda County, California",NA,4485
6001433103,"Census Tract 4331.03, Alameda County, California",NA,3523
6001433104,"Census Tract 4331.04, Alameda County, California",NA,3724
6001433200,"Census Tract 4332, Alameda County, California",NA,7991
6001433300,"Census Tract 4333, Alameda County, California",NA,7761
6001433400,"Census Tract 4334, Alameda County, California",NA,5934
6001433500,"Census Tract 4335, Alameda County, California",NA,4830
6001433600,"Census Tract 4336, Alameda County, California",NA,6094
6001433700,"Census Tract 4337, Alameda County, California",NA,3503
6001433800,"Census Tract 4338, Alameda County, California",NA,8179
6001433900,"Census Tract 4339, Alameda County, California",NA,7685
6001434000,"Census Tract 4340, Alameda County, California",NA,5334
6001435102,"Census Tract 4351.02, Alameda County, California",NA,6189
6001435103,"Census Tract 4351.03, Alameda County, California",NA,7420
6001435104,"Census Tract 4351.04, Alameda County, California",NA,6117
6001435200,"Census Tract 4352, Alameda County, California",NA,4659
6001435300,"Census Tract 4353, Alameda County, California",NA,4739
6001435400,"Census Tract 4354, Alameda County, California",NA,4538
6001435500,"Census Tract 4355, Alameda County, California",NA,3983
6001435601,"Census Tract 4356.01, Alameda County, California",NA,5662
6001435602,"Census Tract 4356.02, Alameda County, California",NA,5453
6001435700,"Census Tract 4357, Alameda County, California",NA,5231
6001435800,"Census Tract 4358, Alameda County, California",NA,5543
6001435900,"Census Tract 4359, Alameda County, California",NA,5371
