deviceSerialNumber,MODELID,Bus,PLACEID,LOCATIONNAME,SUBLOCATION,INSTALLDATE,DEINSTALLDATE,DEVICE_ID_HEX
6369602,CID1B,3914,SOL3914,SOL,NSL-SOL-TDS-001,1/25/2017 16:51,1/25/2020 0:00,613142
6369779,CID1B,5016,SOL5016,SOL,NSL-SOL-TDS-001 ,5/2/2014 21:33,5/15/2015 8:00,6131F3    
6369853,CID1B,5058,SOL5058,SOL,NSL-SOL-TDS-001,3/20/2023 8:00,9/1/2023 0:00,61323D    
6370063,CID1B,3901,SOL3901,SOL,NSL-SOL-TDS-001 ,4/25/2014 20:16,9/1/2023 0:00,61330F    
6370064,CID1B,5034,SOL5034,SOL,NSL-SOL-TDS-001,5/2/2014 21:59,12/16/2015 8:00,613310
6370112,CID1B,5023,SOL5023,SOL,NSL-SOL-TDS-001 ,4/25/2014 20:11,9/30/2015 8:00,613340
6370115,CID1B,5015,SOL5015,SOL,NSL-SOL-TDS-001 ,5/2/2014 21:22,2/28/2017 8:00,613343
6370185,CID1B,5020,SOL5020,SOL,NSL-SOL-TDS-001 ,5/2/2014 22:05,1/17/2018 19:58,613389
6370185,CID1B,5110,SOL5110,SOL,NSL-SOL-TDS-001,1/17/2018 19:58,9/1/2023 0:00,613389
6370240,CID1B,3908,SOL3908,SOL,NSL-SOL-TDS-001 ,4/25/2014 20:14,9/1/2023 0:00,6133C0    
6370241,CID1B,5029,SOL5029,SOL,NSL-SOL-TDS-001 ,5/2/2014 22:02,1/29/2019 20:43,6133C1    
6370241,CID1B,5115,SOL5115,SOL,NSL-SOL-TDS-001,1/29/2019 20:43,9/1/2023 0:00,6133C1    
6370242,CID1B,3914,SOL3914,SOL,NSL-SOL-TDS-001 ,4/25/2014 20:18,2/10/2017 8:00,6133C2    
6370242,CID1B,5102,SOL5102,SOL,NSL-SOL-TDS-001,2/10/2017 8:00,9/1/2023 0:00,6133C2    
6370243,CID1B,5010,SOL5010,SOL,NSL-SOL-TDS-001 ,10/1/2014 3:27,7/1/2019 8:00,6133C3    
6370243,CID1B,3914,SOL3914,SOL,NSL-SOL-TDS-001,12/4/2019 0:00,1/4/2020 0:00,6133C3    
6370243,CID1B,3914,SOL3914,SOL,NSL-SOL-TDS-001,9/1/2021 0:00,9/1/2023 0:00,6133C3    
6492166,DC CID1A,5011,SOL5011,SOL,NSL-SOL-TDS-001,9/18/2014 2:42,7/6/2016 8:00,631006
