"organization_name","gtfs_dataset_name","valid_from","valid_to"
"Los Angeles County Metropolitan Transportation Authority","DowneyLINK GMV Vehicle Positions",2024-05-22,2024-06-19 23:59:59
"Marin County Transit District","Marin VehiclePositions",2023-05-23,2024-06-19 23:59:59
"Metropolitan Transportation Commission","Bay Area 511 AC Transit Vehicle Position",2023-11-08,2024-07-10 23:59:59
"Metropolitan Transportation Commission","Bay Area 511 ACE VehiclePositions",2023-11-08,2024-07-10 23:59:59
"Metropolitan Transportation Commission","Bay Area 511 Angel Island-Tiburon Ferry VehiclePositions",2023-11-08,2024-07-10 23:59:59
"Metropolitan Transportation Commission","Bay Area 511 BART VehiclePositions",2023-11-08,2024-07-10 23:59:59
"Metropolitan Transportation Commission","Bay Area 511 Caltrain VehiclePositions",2023-11-08,2024-07-10 23:59:59
"Metropolitan Transportation Commission","Bay Area 511 Capitol Corridor VehiclePositions",2023-11-08,2024-07-10 23:59:59
"Metropolitan Transportation Commission","Bay Area 511 Commute.org VehiclePositions",2024-04-04,2024-07-10 23:59:59
"Metropolitan Transportation Commission","Bay Area 511 County Connection VehiclePositions",2023-11-08,2024-07-10 23:59:59
"Metropolitan Transportation Commission","Bay Area 511 Dumbarton Express VehiclePositions",2023-11-08,2024-07-10 23:59:59
"Metropolitan Transportation Commission","Bay Area 511 Emery Go-Round VehiclePositions",2023-11-08,2024-07-10 23:59:59
"Metropolitan Transportation Commission","Bay Area 511 Fairfield and Suisun Transit Vehicle Positions",2023-11-08,2024-07-10 23:59:59
"Metropolitan Transportation Commission","Bay Area 511 MVGO VehiclePositions",2023-12-12,2024-07-10 23:59:59
"Metropolitan Transportation Commission","Bay Area 511 Marin VehiclePositions",2023-11-08,2024-07-10 23:59:59
"Metropolitan Transportation Commission","Bay Area 511 Mission Bay Vehicle Positions",2023-12-09,2024-07-10 23:59:59
"Metropolitan Transportation Commission","Bay Area 511 Muni VehiclePositions",2023-11-08,2024-07-10 23:59:59
"Metropolitan Transportation Commission","Bay Area 511 Petaluma VehiclePositions",2023-11-08,2024-07-10 23:59:59
"Metropolitan Transportation Commission","Bay Area 511 Regional VehiclePositions",2024-04-04,2024-07-10 23:59:59
"Metropolitan Transportation Commission","Bay Area 511 Rio Vista Delta Breeze VehiclePositions",2023-11-08,2024-07-10 23:59:59
